지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
진주,2022-01-01,경상대태양광,0.905,3.37896,-2.0,,0.5,42.0,8.5,11.4
진주,2022-01-02,경상대태양광,0.905,3.14208,-0.7,,0.8,56.4,8.5,11.3
진주,2022-01-03,경상대태양광,0.905,3.21192,-0.7,,0.5,56.3,8.5,11.7
진주,2022-01-04,경상대태양광,0.905,2.8944,0.1,,0.5,62.5,8.3,11.2
진주,2022-01-05,경상대태양광,0.905,0.90288,2.2,,0.4,41.5,0.2,4.5
진주,2022-01-06,경상대태양광,0.905,3.41352,3.0,0.0,0.8,45.6,8.6,11.6
진주,2022-01-07,경상대태양광,0.905,3.30408,-1.2,,0.3,55.5,8.6,11.8
진주,2022-01-08,경상대태양광,0.905,3.30624,-1.1,,0.4,55.8,8.6,11.6
진주,2022-01-09,경상대태양광,0.905,2.40408,0.6,,0.3,70.0,7.6,10.2
진주,2022-01-10,경상대태양광,0.905,2.79144,1.9,,0.4,71.4,8.3,10.7
진주,2022-01-11,경상대태양광,0.905,3.50928,0.1,,2.3,44.4,8.5,12.2
진주,2022-01-12,경상대태양광,0.905,3.54312,-2.2,,1.1,42.0,8.7,12.1
진주,2022-01-13,경상대태양광,0.905,3.41784,-2.4,,2.0,43.8,8.7,11.4
진주,2022-01-14,경상대태양광,0.905,3.56256,-3.0,,0.5,47.5,8.7,12.3
진주,2022-01-15,경상대태양광,0.905,2.6892,-0.3,,0.4,50.0,6.6,10.0
진주,2022-01-16,경상대태양광,0.905,3.15792,0.2,,1.0,55.0,8.7,11.6
진주,2022-01-17,경상대태양광,0.905,3.168,-1.6,,0.8,55.8,8.1,11.4
진주,2022-01-18,경상대태양광,0.905,3.6504,-2.2,,0.8,36.4,8.8,12.9
진주,2022-01-19,경상대태양광,0.905,3.28176,-1.6,,0.8,47.4,8.8,12.1
진주,2022-01-20,경상대태양광,0.905,3.5712,-1.4,,1.0,48.4,8.9,12.4
진주,2022-01-21,경상대태양광,0.905,3.31344,-1.9,,0.4,55.3,9.0,12.2
진주,2022-01-22,경상대태양광,0.905,2.09376,2.3,,0.4,62.0,5.0,9.0
진주,2022-01-23,경상대태양광,0.905,1.7028,5.2,,0.4,69.8,3.6,7.1
진주,2022-01-24,경상대태양광,0.905,1.37736,3.9,,1.0,66.4,1.8,6.1
진주,2022-01-25,경상대태양광,0.905,1.17648,3.8,,0.4,70.4,0.8,5.4
진주,2022-01-26,경상대태양광,0.905,3.2544,2.0,,0.6,66.8,9.1,12.6
진주,2022-01-27,경상대태양광,0.905,3.18024,2.3,,0.4,59.3,9.1,12.3
진주,2022-01-28,경상대태양광,0.905,3.64248,2.0,,0.7,44.6,8.7,13.2
진주,2022-01-29,경상대태양광,0.905,3.13992,3.4,,1.5,25.1,7.6,12.2
진주,2022-01-30,경상대태양광,0.905,3.12264,2.1,,1.0,28.5,8.9,11.5
진주,2022-01-31,경상대태양광,0.905,3.80376,-0.1,,0.7,41.5,9.4,14.5
진주,2022-02-01,경상대태양광,0.905,3.54024,0.7,,1.6,54.3,9.0,12.5
진주,2022-02-02,경상대태양광,0.905,2.65896,0.0,,0.9,54.8,6.1,9.6
진주,2022-02-03,경상대태양광,0.905,3.95352,1.3,,1.1,40.9,9.5,14.8
진주,2022-02-04,경상대태양광,0.905,3.762,0.5,,1.6,38.1,9.5,14.7
진주,2022-02-05,경상대태양광,0.905,4.07664,-1.8,,2.3,44.0,9.5,14.9
진주,2022-02-06,경상대태양광,0.905,3.62448,-1.3,,1.2,46.5,9.3,14.1
진주,2022-02-07,경상대태양광,0.905,1.8504,-1.2,,0.6,53.0,3.3,7.9
진주,2022-02-08,경상대태양광,0.905,3.7368,1.7,,0.8,42.0,9.7,14.5
진주,2022-02-09,경상대태양광,0.905,2.88072,1.9,,0.4,56.5,7.6,12.3
진주,2022-02-10,경상대태양광,0.905,3.48768,4.6,,1.0,45.1,8.7,14.2
진주,2022-02-11,경상대태양광,0.905,3.86424,2.3,,0.7,47.6,9.9,15.9
진주,2022-02-12,경상대태양광,0.905,3.75408,4.3,,0.7,47.4,9.8,15.2
진주,2022-02-13,경상대태양광,0.905,2.86488,6.1,,0.8,56.6,7.3,12.5
진주,2022-02-14,경상대태양광,0.905,2.32632,5.5,,1.1,61.6,4.4,11.4
진주,2022-02-15,경상대태양광,0.905,3.99312,0.2,,1.5,50.3,9.9,16.0
진주,2022-02-16,경상대태양광,0.905,4.21776,-2.9,,1.9,45.4,9.9,16.5
진주,2022-02-17,경상대태양광,0.905,4.08816,-3.4,,1.6,33.0,9.9,16.3
진주,2022-02-18,경상대태양광,0.905,4.04856,-0.6,,0.6,47.9,10.0,15.7
진주,2022-02-19,경상대태양광,0.905,2.21832,3.3,,1.3,50.5,4.0,10.5
진주,2022-02-20,경상대태양광,0.905,4.6224,-1.1,,2.3,32.5,10.1,17.9
진주,2022-02-21,경상대태양광,0.905,4.1256,-0.1,,1.3,47.1,9.9,17.0
진주,2022-02-22,경상대태양광,0.905,4.17312,0.1,,1.6,37.5,9.6,17.0
진주,2022-02-23,경상대태양광,0.905,3.78936,-0.1,,1.9,30.0,8.3,15.1
진주,2022-02-24,경상대태양광,0.905,4.45392,0.2,,1.3,36.5,10.2,17.9
진주,2022-02-25,경상대태양광,0.905,4.30416,1.9,,0.8,50.6,10.2,17.6
진주,2022-02-26,경상대태양광,0.905,3.9204,5.0,0.0,1.3,55.8,10.0,16.7
진주,2022-02-27,경상대태양광,0.905,4.4892,5.6,0.0,1.3,37.0,10.5,18.3
진주,2022-02-28,경상대태양광,0.905,3.38256,5.2,,0.8,42.9,8.7,14.2
진주,2022-03-01,경상대태양광,0.905,2.93904,8.1,1.8,1.0,64.8,5.8,13.4
진주,2022-03-02,경상대태양광,0.905,4.74048,3.5,,0.8,49.8,10.4,19.3
진주,2022-03-03,경상대태양광,0.905,4.55832,4.3,,0.8,61.5,10.5,18.7
진주,2022-03-04,경상대태양광,0.905,3.25152,7.2,,1.2,67.6,6.6,15.0
진주,2022-03-05,경상대태양광,0.905,4.79232,6.8,,2.9,33.9,10.2,19.4
진주,2022-03-06,경상대태양광,0.905,4.91544,3.0,,1.0,38.0,10.7,20.3
진주,2022-03-07,경상대태양광,0.905,3.79152,4.1,,0.7,53.9,9.1,16.3
진주,2022-03-08,경상대태양광,0.905,4.4856,5.2,,0.7,55.5,10.6,19.5
진주,2022-03-09,경상대태양광,0.905,4.50432,6.7,,0.7,54.3,10.6,19.4
진주,2022-03-10,경상대태양광,0.905,3.68352,8.4,,0.9,64.1,9.8,16.2
진주,2022-03-11,경상대태양광,0.905,2.11104,10.5,0.0,0.6,78.5,3.8,10.8
진주,2022-03-12,경상대태양광,0.905,3.74328,14.2,,1.3,78.6,8.7,17.4
진주,2022-03-13,경상대태양광,0.905,0.5652,15.1,8.8,0.9,90.3,0.0,2.7
진주,2022-03-14,경상대태양광,0.905,0.53064,11.3,1.7,0.9,96.4,0.5,3.7
진주,2022-03-15,경상대태양광,0.905,4.64256,9.4,,0.9,70.8,9.8,20.4
진주,2022-03-16,경상대태양광,0.905,4.52232,11.0,,0.7,60.9,10.2,20.6
진주,2022-03-17,경상대태양광,0.905,0.80856,9.5,7.0,1.1,83.0,0.0,4.7
진주,2022-03-18,경상대태양광,0.905,1.07208,7.2,8.1,1.8,80.6,0.0,5.5
진주,2022-03-19,경상대태양광,0.905,2.15424,4.7,3.7,1.2,79.5,3.2,9.3
진주,2022-03-20,경상대태양광,0.905,3.43008,6.1,,0.7,68.6,8.9,15.5
진주,2022-03-21,경상대태양광,0.905,3.57912,7.4,,0.8,55.5,7.3,16.2
진주,2022-03-22,경상대태양광,0.905,4.428,8.7,,1.0,53.8,10.0,20.0
진주,2022-03-23,경상대태양광,0.905,2.80152,6.8,,0.6,66.9,3.8,13.4
진주,2022-03-24,경상대태양광,0.905,4.56984,8.0,,0.8,63.6,10.6,21.5
진주,2022-03-25,경상대태양광,0.905,1.83816,11.6,16.7,1.2,79.6,1.3,9.4
진주,2022-03-26,경상대태양광,0.905,3.48768,14.9,66.0,2.2,77.1,7.3,16.2
진주,2022-03-27,경상대태양광,0.905,4.81176,12.2,,1.9,52.8,11.1,22.5
진주,2022-03-28,경상대태양광,0.905,3.97152,8.2,,1.1,48.8,10.6,18.0
진주,2022-03-29,경상대태양광,0.905,5.0472,9.2,,0.8,60.9,11.3,22.8
진주,2022-03-30,경상대태양광,0.905,3.07224,12.6,,0.9,80.3,4.3,15.2
진주,2022-03-31,경상대태양광,0.905,2.58336,13.0,2.1,1.2,81.9,5.2,12.8
진주,2022-04-01,경상대태양광,0.905,4.4172,9.8,0.4,1.4,62.1,8.9,20.8
진주,2022-04-02,경상대태양광,0.905,4.73472,9.5,,0.9,64.6,11.1,24.1
진주,2022-04-03,경상대태양광,0.905,4.97232,9.2,,0.8,61.8,11.2,24.0
진주,2022-04-04,경상대태양광,0.905,5.0292,10.5,,0.8,60.8,11.2,24.3
진주,2022-04-05,경상대태양광,0.905,4.15368,11.6,,1.0,53.3,10.5,19.9
진주,2022-04-06,경상대태양광,0.905,4.76568,12.6,,0.8,50.4,11.2,23.5
진주,2022-04-07,경상대태양광,0.905,4.42368,13.4,0.0,1.3,52.6,9.5,23.0
진주,2022-04-08,경상대태양광,0.905,5.05368,12.4,,1.1,61.6,11.5,25.0
진주,2022-04-09,경상대태양광,0.905,4.88808,15.0,,1.1,63.4,11.5,24.6
진주,2022-04-10,경상대태양광,0.905,4.85928,16.3,,1.2,70.6,11.0,24.0
진주,2022-04-11,경상대태양광,0.905,3.40128,17.0,,1.0,84.3,6.5,17.2
진주,2022-04-12,경상대태양광,0.905,4.47696,19.2,,1.3,80.4,8.9,22.8
진주,2022-04-13,경상대태양광,0.905,0.84024,15.2,0.5,1.4,84.1,0.0,5.5
진주,2022-04-14,경상대태양광,0.905,2.27808,12.1,0.0,2.0,71.1,4.0,12.0
진주,2022-04-15,경상대태양광,0.905,4.1832,13.1,,1.7,64.0,7.8,21.0
진주,2022-04-16,경상대태양광,0.905,5.01408,11.6,,1.2,61.9,12.0,25.8
진주,2022-04-17,경상대태양광,0.905,5.15016,12.5,,0.7,55.9,11.7,26.1
진주,2022-04-18,경상대태양광,0.905,3.92688,14.8,,0.7,51.8,9.7,19.6
진주,2022-04-19,경상대태양광,0.905,4.81824,15.3,,0.9,46.8,11.3,24.6
진주,2022-04-20,경상대태양광,0.905,5.07312,15.0,,1.0,48.6,12.2,25.1
진주,2022-04-21,경상대태양광,0.905,1.34496,11.6,4.6,0.3,82.8,2.4,7.3
진주,2022-04-22,경상대태양광,0.905,5.03064,16.4,,1.1,74.0,11.0,25.1
진주,2022-04-23,경상대태양광,0.905,3.2004,17.2,,1.1,73.9,5.3,16.8
진주,2022-04-24,경상대태양광,0.905,4.83984,19.3,,0.9,71.5,11.9,25.8
진주,2022-04-25,경상대태양광,0.905,3.76632,19.2,17.9,0.8,71.0,8.5,18.5
진주,2022-04-26,경상대태양광,0.905,0.80424,18.2,29.8,0.6,95.4,0.0,4.9
진주,2022-04-27,경상대태양광,0.905,4.65624,17.6,,1.0,65.0,11.3,23.3
진주,2022-04-28,경상대태양광,0.905,4.26024,16.4,,1.1,62.9,10.8,22.0
진주,2022-04-29,경상대태양광,0.905,1.9584,12.1,16.3,1.7,76.8,4.5,12.2
진주,2022-04-30,경상대태양광,0.905,3.63888,14.1,,0.9,68.4,6.7,18.0
진주,2022-05-01,경상대태양광,0.905,5.26608,15.3,,1.6,40.4,12.1,27.3
진주,2022-05-02,경상대태양광,0.905,4.45968,13.6,0.0,1.2,51.8,10.5,23.8
진주,2022-05-03,경상대태양광,0.905,5.24448,13.1,,1.1,61.6,12.7,27.0
진주,2022-05-04,경상대태양광,0.905,5.24664,14.7,,1.0,67.8,11.9,27.3
진주,2022-05-05,경상대태양광,0.905,5.28408,16.8,,0.9,68.4,11.2,27.7
진주,2022-05-06,경상대태양광,0.905,4.9068,18.3,,1.0,72.1,12.8,26.9
진주,2022-05-07,경상대태양광,0.905,4.5792,19.8,,1.0,67.6,10.9,24.9
진주,2022-05-08,경상대태양광,0.905,4.31424,17.2,0.0,1.4,57.4,10.4,21.8
진주,2022-05-09,경상대태양광,0.905,3.49488,16.2,,1.1,59.8,6.5,20.5
진주,2022-05-10,경상대태양광,0.905,4.01544,16.1,0.0,0.9,56.3,6.4,20.7
진주,2022-05-11,경상대태양광,0.905,3.1788,18.7,0.0,0.7,65.8,4.7,12.6
진주,2022-05-12,경상대태양광,0.905,2.53008,20.7,,0.7,75.6,2.2,13.6
진주,2022-05-13,경상대태양광,0.905,1.31112,18.5,0.9,0.7,86.1,0.1,8.0
진주,2022-05-14,경상대태양광,0.905,5.05296,17.6,,1.5,43.3,11.2,25.9
진주,2022-05-15,경상대태양광,0.905,5.11488,16.2,,1.4,43.9,11.7,26.7
진주,2022-05-16,경상대태양광,0.905,5.09544,16.2,,1.0,55.0,11.2,28.2
진주,2022-05-17,경상대태양광,0.905,4.54536,18.0,,1.0,59.8,11.1,27.0
진주,2022-05-18,경상대태양광,0.905,4.87152,19.6,,1.1,56.8,12.7,26.7
진주,2022-05-19,경상대태양광,0.905,3.62232,18.5,,0.8,57.1,6.6,19.1
진주,2022-05-20,경상대태양광,0.905,3.52152,18.7,,0.8,68.1,6.3,19.2
진주,2022-05-21,경상대태양광,0.905,4.11624,20.3,0.0,0.8,69.4,10.7,24.4
진주,2022-05-22,경상대태양광,0.905,4.71312,22.5,,0.8,58.8,12.5,27.3
진주,2022-05-23,경상대태양광,0.905,4.18104,21.1,,0.9,67.9,12.1,24.2
진주,2022-05-24,경상대태양광,0.905,4.69872,22.2,,0.9,62.5,12.4,27.3
진주,2022-05-25,경상대태양광,0.905,4.69728,21.9,,1.1,65.9,12.4,26.8
진주,2022-05-26,경상대태양광,0.905,4.93632,21.7,,1.2,47.0,12.1,27.9
진주,2022-05-27,경상대태양광,0.905,4.37256,21.2,,1.8,48.3,13.3,24.7
진주,2022-05-28,경상대태양광,0.905,3.924,21.3,,1.0,51.9,11.3,22.5
진주,2022-05-29,경상대태양광,0.905,5.01984,21.3,0.0,1.2,56.5,12.9,27.1
진주,2022-05-30,경상대태양광,0.905,3.14856,22.9,,1.3,63.3,4.6,18.7
진주,2022-05-31,경상대태양광,0.905,4.986,22.1,,1.3,48.1,13.3,28.3
진주,2022-06-01,경상대태양광,0.905,4.74696,22.0,,1.1,53.1,11.2,27.2
진주,2022-06-02,경상대태양광,0.905,4.94352,21.3,,1.0,68.9,13.1,28.1
진주,2022-06-03,경상대태양광,0.905,4.66056,22.4,,1.0,69.0,12.4,26.9
진주,2022-06-04,경상대태양광,0.905,4.08312,21.8,,1.3,57.9,10.7,21.6
진주,2022-06-05,경상대태양광,0.905,0.52128,17.1,59.6,0.8,89.5,0.0,5.1
진주,2022-06-06,경상대태양광,0.905,3.71592,20.7,0.4,1.1,75.6,7.7,18.4
진주,2022-06-07,경상대태양광,0.905,1.58688,18.3,6.9,0.8,75.3,1.1,10.4
진주,2022-06-08,경상대태양광,0.905,2.916,18.0,0.8,0.9,81.0,4.5,16.3
진주,2022-06-09,경상대태양광,0.905,4.49352,19.9,,0.9,72.9,9.9,25.8
진주,2022-06-10,경상대태양광,0.905,3.75912,20.2,,0.8,74.5,9.3,19.9
진주,2022-06-11,경상대태양광,0.905,3.36816,22.1,,0.9,73.0,6.7,18.5
진주,2022-06-12,경상대태양광,0.905,3.8628,20.8,,1.0,70.5,9.8,21.2
진주,2022-06-13,경상대태양광,0.905,2.06136,20.1,1.8,1.2,75.0,0.5,10.7
진주,2022-06-14,경상대태양광,0.905,0.93312,16.9,5.3,1.4,88.9,0.0,5.3
진주,2022-06-15,경상대태양광,0.905,4.14576,20.4,0.7,1.1,83.9,6.7,22.5
진주,2022-06-16,경상대태양광,0.905,4.52088,23.8,,1.5,66.1,12.3,25.3
진주,2022-06-17,경상대태양광,0.905,4.18536,22.8,,1.2,79.1,7.8,22.9
진주,2022-06-18,경상대태양광,0.905,4.34664,25.0,,1.1,76.4,10.5,25.1
진주,2022-06-19,경상대태양광,0.905,4.67856,25.1,,1.2,77.6,10.6,25.2
진주,2022-06-20,경상대태양광,0.905,3.80664,25.1,,0.9,79.3,8.1,21.5
진주,2022-06-21,경상대태양광,0.905,4.17456,26.1,,1.1,75.0,11.1,25.3
진주,2022-06-22,경상대태양광,0.905,4.59648,26.1,,1.2,78.1,12.4,25.7
진주,2022-06-23,경상대태양광,0.905,2.3688,24.9,0.2,1.2,86.1,0.5,9.0
진주,2022-06-24,경상대태양광,0.905,3.00816,25.2,22.9,1.5,86.5,6.0,16.8
진주,2022-06-25,경상대태양광,0.905,3.64248,25.1,,1.3,83.5,6.6,18.5
진주,2022-06-26,경상대태양광,0.905,3.28536,25.7,3.6,1.3,86.9,5.4,17.1
진주,2022-06-27,경상대태양광,0.905,1.51344,25.6,12.1,1.4,91.8,0.1,7.8
진주,2022-06-28,경상대태양광,0.905,1.22832,25.6,3.1,1.5,89.6,0.0,9.3
진주,2022-06-29,경상대태양광,0.905,2.61864,25.7,2.2,1.4,89.8,0.8,14.8
진주,2022-06-30,경상대태양광,0.905,4.73184,26.6,1.7,1.5,85.0,10.6,26.5
진주,2022-07-01,경상대태양광,0.905,4.78872,26.8,,0.9,81.4,11.3,26.9
