지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
고흥,2022.1.1,-0.5,,1,46.1,7.9,
고흥,2022.1.2,0.6,,1.5,68.4,7,
고흥,2022.1.3,0.3,,1.4,60.5,8,
고흥,2022.1.4,2.5,,2.1,56.8,8,
고흥,2022.1.5,2.4,0.2,0.6,62.6,0,
고흥,2022.1.6,2.9,0,1.8,46.9,8,
고흥,2022.1.7,-0.2,,0.7,57.8,8,
고흥,2022.1.8,1,,1.8,59.8,8.1,
고흥,2022.1.9,2,,1,75.8,6.4,
고흥,2022.1.10,2.4,,1.2,70,8,
고흥,2022.1.11,-0.5,,4,63.8,6.1,
고흥,2022.1.12,-2,,2.7,62.6,7.9,
고흥,2022.1.13,-1.3,0,2.8,66.4,6.1,
고흥,2022.1.14,-0.8,,1.6,52.5,8.1,
고흥,2022.1.15,1.3,,0.9,61,7,
고흥,2022.1.16,2.3,,2.5,62.1,6.4,
고흥,2022.1.17,1,,2.4,59.4,5.7,
고흥,2022.1.18,-1.5,,1.9,44.3,8.3,
고흥,2022.1.19,-0.4,,1.6,56,8,
고흥,2022.1.20,-1.1,,1.6,53.1,8.3,
고흥,2022.1.21,0,,0.5,64.9,6.3,
고흥,2022.1.22,5.8,,1,63.6,3.7,
고흥,2022.1.23,7.2,,0.7,67.8,0.4,
고흥,2022.1.24,6.3,,1.3,60.9,3.5,
고흥,2022.1.25,5.1,0,1,66.5,0,
고흥,2022.1.26,4.4,,2,58.8,8.4,
고흥,2022.1.27,2.9,,2.3,52.9,6.1,
고흥,2022.1.28,2.1,,3.5,44.6,7.8,
고흥,2022.1.29,1.8,,3.1,39.4,7.2,
고흥,2022.1.30,1.8,,2.8,36.5,7.6,
고흥,2022.1.31,1.5,,2.1,49.9,8.6,
고흥,2022.2.1,2.3,0,2.8,59,6.5,
고흥,2022.2.2,1.5,,3.2,52.9,5.9,
고흥,2022.2.3,1.6,,2.5,45.6,8.6,
고흥,2022.2.4,0.3,,2.8,50.6,8.3,
고흥,2022.2.5,-1,0,3.7,60.1,8.4,
고흥,2022.2.6,0.3,,2.6,59.4,7,
고흥,2022.2.7,0.6,,1.6,46,0.8,
고흥,2022.2.8,2.3,,1.5,46.6,8.8,
고흥,2022.2.9,3.1,,0.7,58.6,6.6,
고흥,2022.2.10,5,,2.3,42.6,7.9,
고흥,2022.2.11,3.1,,0.6,47.8,8.8,
고흥,2022.2.12,5.8,,0.7,43.6,8.5,
고흥,2022.2.13,7.9,,1,54.1,5.2,
고흥,2022.2.14,5.9,,1.4,63,5.7,
고흥,2022.2.15,0.7,,4.2,53.9,8.4,
고흥,2022.2.16,-1.9,0,4.1,62.1,5.9,
고흥,2022.2.17,-3.1,,2.6,49.6,9.1,
고흥,2022.2.18,2.2,,1.3,49.4,8.3,
고흥,2022.2.19,3.2,,2.5,54.4,2.1,
고흥,2022.2.20,-1.3,0,4.3,50.9,9.3,
고흥,2022.2.21,0.9,,2.4,57.8,9.2,
고흥,2022.2.22,0.7,,3.1,43.9,9.2,
고흥,2022.2.23,-1,,3.9,40.6,7,
고흥,2022.2.24,0.6,,3.1,48.3,9.7,
고흥,2022.2.25,3.9,,2.1,56.3,9.7,
고흥,2022.2.26,5.4,,1.9,67,8.3,
고흥,2022.2.27,5.3,,2.4,37,9.8,
고흥,2022.2.28,5.6,,0.8,52.9,5.9,
고흥,2022.3.1,8,5.6,1.8,77.4,4,
고흥,2022.3.2,4.2,,3.7,52.1,10,
고흥,2022.3.3,5.6,,1.3,73.3,9.8,
고흥,2022.3.4,8.5,,1.5,75.9,6.3,
고흥,2022.3.5,6,0,3.7,44.8,10,
고흥,2022.3.6,3.7,,3.2,40.8,10,
고흥,2022.3.7,4.8,,1.1,44.9,7.1,
고흥,2022.3.8,6.1,,1.1,51.8,10.1,
고흥,2022.3.9,7.7,,1,52.8,10.2,
고흥,2022.3.10,8.2,,0.9,69.1,8.3,
고흥,2022.3.11,12.1,0,0.5,77,0.5,
고흥,2022.3.12,15.2,,1.5,75.1,8.3,
고흥,2022.3.13,13.8,11.9,1.2,95.3,0,
고흥,2022.3.14,10.9,0,2.1,94.3,0,
고흥,2022.3.15,9.9,,1.8,64.1,9.4,
고흥,2022.3.16,11.7,,1,57.1,10.3,
고흥,2022.3.17,10.4,8.5,2,77.8,0,
고흥,2022.3.18,8.6,18.5,2.3,80,1.2,
고흥,2022.3.19,4.7,6,1.8,83.5,0.8,
고흥,2022.3.20,5.1,,1.7,74.1,5.8,
고흥,2022.3.21,6.9,0,0.9,59,5.4,
고흥,2022.3.22,8.3,,1.3,57.3,8.2,
고흥,2022.3.23,7.7,,1.4,64.4,5.8,
고흥,2022.3.24,7.8,,0.9,63.4,10.6,
고흥,2022.3.25,11.9,28.3,2.4,83.9,0.1,
고흥,2022.3.26,11.7,37.6,3.9,84.8,0.6,
고흥,2022.3.27,11.1,,2.5,43.8,9.9,
고흥,2022.3.28,7.8,,1.3,55,7.7,
고흥,2022.3.29,8.7,,0.9,69.9,10.7,
고흥,2022.3.30,13.5,,0.8,80.4,4.4,
고흥,2022.3.31,12.3,,2.1,73,4.2,
고흥,2022.4.1,10,0,1.1,62.5,6.3,
고흥,2022.4.2,8.7,,1.3,61.9,10.1,
