발전기명,날짜,일별_총_일사량(SI_Sum)
경상대태양광,2022.1.1,11.4
경상대태양광,2022.1.2,11.3
경상대태양광,2022.1.3,11.7
경상대태양광,2022.1.4,11.2
경상대태양광,2022.1.5,4.5
경상대태양광,2022.1.6,11.6
경상대태양광,2022.1.7,11.8
경상대태양광,2022.1.8,11.6
경상대태양광,2022.1.9,10.2
경상대태양광,2022.1.10,10.7
경상대태양광,2022.1.11,12.2
경상대태양광,2022.1.12,12.1
경상대태양광,2022.1.13,11.4
경상대태양광,2022.1.14,12.3
경상대태양광,2022.1.15,10
경상대태양광,2022.1.16,11.6
경상대태양광,2022.1.17,11.4
경상대태양광,2022.1.18,12.9
경상대태양광,2022.1.19,12.1
경상대태양광,2022.1.20,12.4
경상대태양광,2022.1.21,12.2
경상대태양광,2022.1.22,9
경상대태양광,2022.1.23,7.1
경상대태양광,2022.1.24,6.1
경상대태양광,2022.1.25,5.4
경상대태양광,2022.1.26,12.6
경상대태양광,2022.1.27,12.3
경상대태양광,2022.1.28,13.2
경상대태양광,2022.1.29,12.2
경상대태양광,2022.1.30,11.5
경상대태양광,2022.1.31,14.5
경상대태양광,2022.2.1,12.5
경상대태양광,2022.2.2,9.6
경상대태양광,2022.2.3,14.8
경상대태양광,2022.2.4,14.7
경상대태양광,2022.2.5,14.9
경상대태양광,2022.2.6,14.1
경상대태양광,2022.2.7,7.9
경상대태양광,2022.2.8,14.5
경상대태양광,2022.2.9,12.3
경상대태양광,2022.2.10,14.2
경상대태양광,2022.2.11,15.9
경상대태양광,2022.2.12,15.2
경상대태양광,2022.2.13,12.5
경상대태양광,2022.2.14,11.4
경상대태양광,2022.2.15,16
경상대태양광,2022.2.16,16.5
경상대태양광,2022.2.17,16.3
경상대태양광,2022.2.18,15.7
경상대태양광,2022.2.19,10.5
경상대태양광,2022.2.20,17.9
경상대태양광,2022.2.21,17
경상대태양광,2022.2.22,17
경상대태양광,2022.2.23,15.1
경상대태양광,2022.2.24,17.9
경상대태양광,2022.2.25,17.6
경상대태양광,2022.2.26,16.7
경상대태양광,2022.2.27,18.3
경상대태양광,2022.2.28,14.2
경상대태양광,2022.3.1,13.4
경상대태양광,2022.3.2,19.3
경상대태양광,2022.3.3,18.7
경상대태양광,2022.3.4,15
