지점,날짜,발전기명,설비용량(MW),발전량(MWh)
고흥,2023.9.1,고흥만 수상태양광,83,0
고흥,2023.9.2,고흥만 수상태양광,83,0
고흥,2023.9.3,고흥만 수상태양광,83,0
고흥,2023.9.4,고흥만 수상태양광,83,0
고흥,2023.9.5,고흥만 수상태양광,83,55.653024
고흥,2023.9.6,고흥만 수상태양광,83,326.55924
고흥,2023.9.7,고흥만 수상태양광,83,379.481592
고흥,2023.9.8,고흥만 수상태양광,83,369.3207
고흥,2023.9.9,고흥만 수상태양광,83,375.14358
고흥,2023.9.10,고흥만 수상태양광,83,258.461784
고흥,2023.9.11,고흥만 수상태양광,83,342.197184
고흥,2023.9.12,고흥만 수상태양광,83,278.867568
고흥,2023.9.13,고흥만 수상태양광,83,87.488016
고흥,2023.9.14,고흥만 수상태양광,83,50.48484
고흥,2023.9.15,고흥만 수상태양광,83,183.347808
고흥,2023.9.16,고흥만 수상태양광,83,96.797148
고흥,2023.9.17,고흥만 수상태양광,83,209.749176
고흥,2023.9.18,고흥만 수상태양광,83,352.361436
고흥,2023.9.19,고흥만 수상태양광,83,233.436084
고흥,2023.9.20,고흥만 수상태양광,83,57.555708
고흥,2023.9.21,고흥만 수상태양광,83,77.435148
고흥,2023.9.22,고흥만 수상태양광,83,263.089848
고흥,2023.9.23,고흥만 수상태양광,83,251.718936
고흥,2023.9.24,고흥만 수상태양광,83,342.02532
고흥,2023.9.25,고흥만 수상태양광,83,183.256752
고흥,2023.9.26,고흥만 수상태양광,83,189.371364
고흥,2023.9.27,고흥만 수상태양광,83,226.03518
고흥,2023.9.28,고흥만 수상태양광,83,326.59746
고흥,2023.9.29,고흥만 수상태양광,83,345.300648
고흥,2023.9.30,고흥만 수상태양광,83,247.144716
고흥,2023.10.1,고흥만 수상태양광,83,357.075348
고흥,2023.10.2,고흥만 수상태양광,83,343.509348
고흥,2023.10.3,고흥만 수상태양광,83,69.886656
고흥,2023.10.4,고흥만 수상태양광,83,305.330424
고흥,2023.10.5,고흥만 수상태양광,83,337.035972
고흥,2023.10.6,고흥만 수상태양광,83,152.014968
고흥,2023.10.7,고흥만 수상태양광,83,74.10606
고흥,2023.10.8,고흥만 수상태양광,83,216.496224
고흥,2023.10.9,고흥만 수상태양광,83,182.740404
고흥,2023.10.10,고흥만 수상태양광,83,321.199116
고흥,2023.10.11,고흥만 수상태양광,83,324.174984
고흥,2023.10.12,고흥만 수상태양광,83,333.65808
고흥,2023.10.13,고흥만 수상태양광,83,225.286572
고흥,2023.10.14,고흥만 수상태양광,83,272.652324
고흥,2023.10.15,고흥만 수상태양광,83,285.35136
고흥,2023.10.16,고흥만 수상태양광,83,326.354532
고흥,2023.10.17,고흥만 수상태양광,83,340.248132
고흥,2023.10.18,고흥만 수상태양광,83,330.982344
고흥,2023.10.19,고흥만 수상태양광,83,285.067356
고흥,2023.10.20,고흥만 수상태양광,83,289.022664
