발전기명,데이터수,R²,RMSE,절편,설비용량(MW),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
경상대태양광,1092,0.7154238391121303,0.6554746005097734,1.6994892701047943,0.0,-0.014324677071995844,0.00013059103180419092,-0.0001406436923145096,-0.012270656474697897,0.09420877311870583,0.09730970188893998
고흥만 수상태양광,280,0.8871275427071326,34.623927096903174,40.98969605688677,0.0,1.1801226885973766,-0.6047963902896756,-1.6379821458247505,0.4479505078266435,15.590653818651475,3.2150245229351277
광양항세방태양광,1094,0.8763527588591646,1.5078732209749408,2.530300733926226,0.0,0.0029464979087264983,-0.003726874236857273,-0.15033249489395006,-0.013515688515167509,0.024853632136514644,0.49377518617610705
당진태양광,1185,0.7905850528871261,1.8926086767207284,2.076478250918253,0.0,-0.015350034171780002,-0.008923040523742952,-0.04520183916599063,-0.001796099464259927,0.3197039464156578,0.33473732929667677
동해바이오화력본부 태양광,431,0.9298933193891812,0.6759693295590371,0.7404807396902395,0.0,-0.04843657199956626,-0.00909901864711498,0.07518803500978478,0.004739977476799528,0.06008578066952567,0.28550680697862973
보령태양광,269,0.9137121101326086,1.4638868025548415,4.232626725939856,0.0,-0.08877312113938862,-0.006544042633444758,-0.01802655666551115,-0.01769709633180706,0.3950728534503986,0.4418295460231488
서울태양광,694,0.9096658422764518,0.6080011486378298,2.2288749915192954,0.0,-0.011047310643101077,-0.0068006082503904615,-0.04130659192112148,-0.012401424869829194,0.20823474465769176,0.14061304238500832
서천태양광,693,0.8556048014509691,2.3850004490281114,4.608059372095935,0.0,-0.008846549796389068,-0.0045393949255348644,-0.6125011325655213,-0.025936398353519494,0.1417525167836014,0.6445874444043149
세종태양광,679,0.9743901079870163,0.08209873399648929,0.41956992702641926,0.0,-0.003653728265315589,-0.00041994210218131416,-0.014485652813466662,-0.002777312206059136,0.02980341909295758,0.048980619878290034
신보령태양광,269,0.8734794295997161,2.160907952338911,5.860716009927467,0.0,-0.0997154216990481,-0.007628429203808283,0.44945294897241933,-0.04390376651564929,0.39941740946967264,0.6163942634227181
여수엑스포태양광,698,0.8973176783832792,1.0950751254241784,4.401209677251673,0.0,-0.052008899287123204,-0.005299231090899913,0.028423093168694735,-0.02993039198378979,0.4291445116140803,0.21041234933323402
영흥태양광,1096,0.8207265936686424,3.6942510607058074,7.864920380131867,0.0,0.0019825566362536265,-0.018441776948706006,-0.0990884447961583,-0.045151215019047425,0.9616473775177687,0.5093414644425862
예천태양광,1091,0.5733581156968088,2.2003560709397205,7.0769261442272615,0.0,-0.008273794819723759,-0.00048373039017948326,-0.5731564059372616,-0.06376435352071011,0.3648528094934401,0.11256472708399581
울산태양광#1,891,0.8220472995127877,0.32165872920697297,0.48414873147842363,0.0,-0.005395573908158767,-0.002413526780845088,0.0013383443836619245,-0.0014717049955840199,0.05343741542341265,0.061064459587451755
인천아시아드태양광,275,0.6270092960182307,2.7085637018135484,-6.082594626588063,2.0589811524731196,0.13261764017825783,-0.014858075576994088,-0.2480191787380193,0.007844716044977046,0.3946718824792967,0.16527067840591345
인천태양광,678,0.9203443821506211,0.5869293227416538,1.3297819966379523,0.0,-0.01128738484916801,-0.0015436697464377143,0.037107784562259674,-0.0112113627289043,0.13850879243506362,0.18908610681172103
제주대태양광,688,0.8676600356600785,0.6832660138620288,2.1028142253784257,0.0,-0.03519625920716905,0.0018512324621386663,-0.09269581056569484,-0.011921992874721071,0.15258118112819555,0.12495539932241863
제주성읍리태양광,236,0.6819875393706095,1.9046950547371815,5.987480471627384,0.0,0.025245493237815976,-0.0184929887327946,-0.8625162128934237,-0.018358933432143044,0.31478869092739,0.07878966690583246
제주태양광,688,0.9315809098275347,0.47160461426369993,0.846949658205824,0.0,-0.019681778359340128,0.0013703089801247832,-0.02107698134317111,-0.0065447896395820476,0.016513076207120343,0.21361553589130122
