발전기명,R²,RMSE,데이터 수
경상대태양광,0.5843,0.8078,1094
고흥만 수상태양광,0.9308,27.1062,280
광양항세방태양광,0.6935,2.3383,1095
당진태양광,0.7279,2.0369,1187
동해바이오화력본부 태양광,0.9224,0.7162,432
보령태양광,0.9401,1.2202,269
서울태양광,0.8507,0.7927,696
서천태양광,0.8306,2.471,698
세종태양광,0.981,0.0707,679
신보령태양광,0.895,1.9688,269
여수엑스포태양광,0.9188,0.9762,699
영흥태양광,0.8004,3.8985,1096
예천태양광,0.5852,2.1697,1091
울산태양광#1,0.7943,0.3458,891
인천아시아드태양광,0.8672,1.6159,275
인천태양광,0.9269,0.5621,678
제주대태양광,0.8273,0.7262,698
제주성읍리태양광,0.711,1.8156,236
제주태양광,0.9012,0.5099,698
