발전기명,R²,RMSE,데이터 수
경상대태양광,0.7165,0.6757,1096
고흥만 수상태양광,0.8617,40.9735,487
광양항세방태양광,0.7575,2.0461,1096
구미태양광,0.81,0.6077,1096
당진태양광,0.7219,2.0589,1187
동해바이오화력본부 태양광,0.744,1.1654,1187
보령태양광,0.8698,1.6792,700
서울태양광,0.8391,0.753,700
서천태양광,0.7844,2.5804,700
세종태양광,0.9253,0.1167,700
신보령태양광,0.8309,2.4492,700
여수엑스포태양광,0.8863,1.1207,700
영흥태양광,0.8172,3.7305,1096
예천태양광,0.5663,2.1921,1095
울산태양광#1,0.7523,0.3625,1184
인천아시아드태양광,0.8672,1.6159,275
인천태양광,0.8812,0.7168,678
제주대태양광,0.8246,0.7443,700
제주성읍리태양광,0.7045,1.75,700
제주태양광,0.8646,0.6041,700
