월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,6934.09,6509.299999999999,11334.16,11976.3,14767.61,14438.189999999999,9509.58,12527.14,10876.61,9030.05,8343.35,8076.64
4,4406.63,4207.11,7830.16,8121.04,10396.46,9851.38,6777.32,9451.5,8017.39,6429.65,6184.08,5645.54
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,8981.38,8333.58,14608.28,15625.12,18335.9,19734.8,12375.55,16931.48,13795.25,12568.47,10402.18,11401.79
9,9154.12,6814.09,13105.6,12928.7,17621.76,15158.35,13884.16,16803.28,12288.96,10033.48,9989.48,12182.87
10,106585.17,100112.41,185606.73,199152.49,238659.78,247094.64,160177.87,218613.86,180557.0,157946.0,135637.64,135941.28
11,,,,,,,,,,,,
12,121713.1,100075.53,198274.89,223892.55,268657.82,260510.92,171553.67,228847.2,172301.41,156541.36,136185.09,144762.88
