발전기명,데이터 수,R²,RMSE,NRMSE(평균),NRMSE(범위),MAPE(%),정확도 수준
경상대태양광,1046,0.8909,0.4086,0.146,0.08,20.59,👍 양호
고흥만 수상태양광,483,0.8703,36.4012,0.169,0.093,13.95,👍 양호
광양항세방태양광,1068,0.8591,1.562,0.183,0.092,20.34,👍 양호
구미태양광,1070,0.9,0.4374,0.132,0.082,14.96,👍 양호
당진태양광,1165,0.8398,1.6261,0.193,0.102,1997.77,👍 양호
동해바이오화력본부 태양광,1163,0.8115,1.0994,0.214,0.105,610.87,⚖️ 보통
보령태양광,700,0.8667,1.6992,0.151,0.082,34.15,👍 양호
서울태양광,691,0.9288,0.5407,0.113,0.069,330.89,👍 양호
서천태양광,698,0.853,2.187,0.168,0.1,995.47,👍 양호
세종태양광,700,0.9253,0.1167,0.104,0.067,10.49,👍 양호
신보령태양광,695,0.8785,2.3192,0.165,0.099,19.98,👍 양호
여수엑스포태양광,694,0.9456,0.8652,0.111,0.065,56.34,👍 양호
영흥태양광,1087,0.7797,3.9613,0.215,0.118,26.29,⚖️ 보통
예천태양광,1008,0.8106,1.3089,0.203,0.115,40.42,⚖️ 보통
울산태양광#1,1157,0.8242,0.3008,0.175,0.105,723.39,👍 양호
인천아시아드태양광,235,0.7633,1.256,0.143,0.122,12.54,👍 양호
인천태양광,678,0.8812,0.7168,0.17,0.087,95.09,👍 양호
제주대태양광,678,0.8854,0.5885,0.201,0.097,388.13,⚖️ 보통
제주성읍리태양광,700,0.7029,1.7549,0.26,0.135,26.61,⚖️ 보통
제주태양광,698,0.8657,0.5973,0.191,0.094,21.57,👍 양호
