발전기명,데이터 수,R²,RMSE,NRMSE(평균),NRMSE(범위),MAPE(%),정확도 수준
경상대태양광,1046,0.7785,0.5822,0.207,0.114,25.8,⚖️ 보통
고흥만 수상태양광,483,0.8723,36.1132,0.168,0.092,14.65,👍 양호
광양항세방태양광,1068,0.7926,1.8949,0.222,0.112,26.02,⚖️ 보통
구미태양광,1070,0.7773,0.6528,0.198,0.122,21.03,👍 양호
당진태양광,1165,0.7364,2.0857,0.247,0.131,2029.89,⚖️ 보통
동해바이오화력본부 태양광,1163,0.6608,1.4748,0.287,0.142,656.76,⚖️ 보통
보령태양광,700,0.756,2.2986,0.204,0.111,40.95,⚖️ 보통
서울태양광,691,0.7915,0.9254,0.193,0.119,246.46,👍 양호
서천태양광,698,0.7689,2.7429,0.21,0.126,1214.57,⚖️ 보통
세종태양광,700,0.7874,0.1969,0.176,0.113,18.01,👍 양호
신보령태양광,695,0.7671,3.2117,0.229,0.137,30.73,⚖️ 보통
여수엑스포태양광,694,0.8347,1.5089,0.194,0.113,58.37,👍 양호
영흥태양광,1087,0.6948,4.6632,0.253,0.139,32.45,⚖️ 보통
예천태양광,1008,0.6759,1.7119,0.266,0.15,47.62,⚖️ 보통
울산태양광#1,1157,0.6028,0.4522,0.264,0.158,712.62,⚖️ 보통
인천아시아드태양광,235,0.698,1.4189,0.161,0.138,13.97,👍 양호
인천태양광,678,0.798,0.9345,0.222,0.113,44.41,⚖️ 보통
제주대태양광,678,0.692,0.9649,0.329,0.159,785.64,⚠️ 부정확
제주성읍리태양광,700,0.5353,2.1945,0.325,0.169,31.1,⚠️ 부정확
제주태양광,698,0.6912,0.9056,0.289,0.142,33.17,⚖️ 보통
