지역,연,월,일사합 평균(MJ/m²)
광주광역시,2020,01,264.36
광주광역시,2020,02,346.78
광주광역시,2020,03,568.48
광주광역시,2020,04,686.9
광주광역시,2020,05,619.38
광주광역시,2020,06,592.22
광주광역시,2020,07,394.45
광주광역시,2020,08,501.73
광주광역시,2020,09,441.01
광주광역시,2020,10,477.99
광주광역시,2020,11,320.91
광주광역시,2020,12,299.96
광주광역시,2021,01,304.64
광주광역시,2021,02,356.28
광주광역시,2021,03,524.59
광주광역시,2021,04,622.29
광주광역시,2021,05,617.85
광주광역시,2021,06,603.21
광주광역시,2021,07,566.24
광주광역시,2021,08,466.53
광주광역시,2021,09,389.17
광주광역시,2021,10,439.7
광주광역시,2021,11,310.83
광주광역시,2021,12,288.88
광주광역시,2022,01,327.51
광주광역시,2022,02,395.79
광주광역시,2022,03,434.2
광주광역시,2022,04,647.3
광주광역시,2022,05,770.49
광주광역시,2022,06,570.73
광주광역시,2022,07,552.07
광주광역시,2022,08,454.3
광주광역시,2022,09,483.16
광주광역시,2022,10,459.57
광주광역시,2022,11,336.75
광주광역시,2022,12,275.78
광주광역시,2023,01,320.32
광주광역시,2023,02,383.37
광주광역시,2023,03,548.72
광주광역시,2023,04,535.21
광주광역시,2023,05,589.17
광주광역시,2023,06,624.15
광주광역시,2023,07,452.14
광주광역시,2023,08,574.76
광주광역시,2023,09,463.48
광주광역시,2023,10,483.8
광주광역시,2023,11,293.97
광주광역시,2023,12,231.34
광주광역시,2024,01,294.22
광주광역시,2024,02,277.48
광주광역시,2024,03,472.09
광주광역시,2024,04,501.88
광주광역시,2024,05,707.88
광주광역시,2024,06,629.59
광주광역시,2024,07,451.46
광주광역시,2024,08,626.66
광주광역시,2024,09,479.05
광주광역시,2024,10,387.53
광주광역시,2024,11,312.84
광주광역시,2024,12,273.77
