시도,날짜,일조시간
강원,2020-01,159.44285714285712
강원,2020-02,180.17857142857142
강원,2020-03,241.85
강원,2020-04,250.75714285714284
강원,2020-05,211.27857142857144
강원,2020-06,224.92142857142858
강원,2020-07,143.59285714285713
강원,2020-08,114.04285714285713
강원,2020-09,151.6142857142857
강원,2020-10,208.84285714285716
강원,2020-11,180.70714285714286
강원,2020-12,194.10714285714286
강원,2021-01,181.15714285714284
강원,2021-02,197.19285714285712
강원,2021-03,205.15714285714284
강원,2021-04,221.56428571428572
강원,2021-05,201.81428571428572
강원,2021-06,184.28571428571428
강원,2021-07,236.14285714285714
강원,2021-08,122.09285714285714
강원,2021-09,163.75
강원,2021-10,157.35714285714286
강원,2021-11,171.94285714285712
강원,2021-12,179.43571428571428
강원,2022-01,202.59285714285716
강원,2022-02,216.96428571428572
강원,2022-03,187.69285714285712
강원,2022-04,252.25
강원,2022-05,285.00714285714287
강원,2022-06,164.2357142857143
강원,2022-07,161.53571428571428
강원,2022-08,124.7
강원,2022-09,184.45000000000002
강원,2022-10,158.93571428571428
강원,2022-11,174.37857142857143
강원,2022-12,179.25
강원,2023-01,178.21428571428572
강원,2023-02,178.37142857142857
강원,2023-03,232.3857142857143
강원,2023-04,197.54285714285714
강원,2023-05,234.89285714285714
강원,2023-06,222.7357142857143
강원,2023-07,163.62142857142857
강원,2023-08,162.4
강원,2023-09,155.20714285714286
강원,2023-10,192.27142857142857
강원,2023-11,177.93571428571428
강원,2023-12,151.17142857142858
강원,2024-01,167.06428571428572
강원,2024-02,97.38571428571429
강원,2024-03,188.22142857142856
강원,2024-04,202.32857142857142
강원,2024-05,255.82857142857142
강원,2024-06,257.0357142857143
강원,2024-07,129.30714285714285
강원,2024-08,223.69285714285712
강원,2024-09,141.37857142857143
강원,2024-10,132.42142857142858
강원,2024-11,147.95714285714286
강원,2024-12,183.03571428571428
경기,2020-01,171.82
경기,2020-02,175.4
경기,2020-03,248.14000000000001
경기,2020-04,282.62
경기,2020-05,192.26
경기,2020-06,220.01999999999998
경기,2020-07,142.32
경기,2020-08,99.02000000000001
경기,2020-09,181.54000000000002
경기,2020-10,224.48000000000002
경기,2020-11,172.78
경기,2020-12,197.22
경기,2021-01,187.56
경기,2021-02,193.24
경기,2021-03,220.94
경기,2021-04,222.9
경기,2021-05,199.92000000000002
경기,2021-06,199.34
경기,2021-07,233.58
경기,2021-08,145.78
경기,2021-09,182.42000000000002
경기,2021-10,176.54000000000002
경기,2021-11,162.35999999999999
경기,2021-12,177.7
경기,2022-01,206.35999999999999
경기,2022-02,211.88000000000002
경기,2022-03,179.78
경기,2022-04,254.95999999999998
경기,2022-05,293.12
경기,2022-06,152.38
경기,2022-07,172.56
경기,2022-08,132.76
경기,2022-09,199.42000000000002
경기,2022-10,201.96
경기,2022-11,175.04000000000002
경기,2022-12,189.38
경기,2023-01,185.42000000000002
경기,2023-02,188.32
경기,2023-03,237.61999999999998
경기,2023-04,185.54000000000002
경기,2023-05,230.48000000000002
경기,2023-06,199.0
경기,2023-07,152.35999999999999
경기,2023-08,171.88
경기,2023-09,157.35999999999999
경기,2023-10,192.62
경기,2023-11,163.8
경기,2023-12,139.57999999999998
경기,2024-01,161.35999999999999
경기,2024-02,111.78
경기,2024-03,201.22
경기,2024-04,206.6
경기,2024-05,244.94
경기,2024-06,271.26
경기,2024-07,96.58
경기,2024-08,208.0
경기,2024-09,168.34
경기,2024-10,150.9
경기,2024-11,166.92000000000002
경기,2024-12,186.74
경남,2020-01,145.95714285714286
경남,2020-02,198.2642857142857
경남,2020-03,235.8857142857143
경남,2020-04,262.75
경남,2020-05,217.7642857142857
경남,2020-06,217.02857142857144
경남,2020-07,84.95
경남,2020-08,176.70714285714286
경남,2020-09,144.68571428571428
경남,2020-10,219.94285714285712
경남,2020-11,182.07142857142858
경남,2020-12,197.1357142857143
경남,2021-01,185.45714285714286
경남,2021-02,188.95714285714286
경남,2021-03,211.72142857142856
경남,2021-04,236.99285714285716
경남,2021-05,204.19285714285712
경남,2021-06,190.33571428571426
경남,2021-07,191.12142857142857
경남,2021-08,154.43571428571428
경남,2021-09,108.30714285714285
경남,2021-10,202.1357142857143
경남,2021-11,187.44285714285712
경남,2021-12,199.12142857142857
경남,2022-01,209.77857142857144
경남,2022-02,223.2642857142857
경남,2022-03,192.67857142857142
경남,2022-04,232.52857142857144
경남,2022-05,289.37857142857143
