지역,연,월,일사합 평균(MJ/m²)
대전광역시,2020,01,266.0
대전광역시,2020,02,360.98
대전광역시,2020,03,570.79
대전광역시,2020,04,711.35
대전광역시,2020,05,677.69
대전광역시,2020,06,609.37
대전광역시,2020,07,428.51
대전광역시,2020,08,498.2
대전광역시,2020,09,481.31
대전광역시,2020,10,404.05
대전광역시,2020,11,259.68
대전광역시,2020,12,255.33
대전광역시,2021,01,263.22
대전광역시,2021,02,346.85
대전광역시,2021,03,449.53
대전광역시,2021,04,553.13
대전광역시,2021,05,526.04
대전광역시,2021,06,565.42
대전광역시,2021,07,590.14
대전광역시,2021,08,421.52
대전광역시,2021,09,401.14
대전광역시,2021,10,383.07
대전광역시,2021,11,263.73
대전광역시,2021,12,241.28
대전광역시,2022,01,318.31
대전광역시,2022,02,384.48
대전광역시,2022,03,419.36
대전광역시,2022,04,614.78
대전광역시,2022,05,770.32
대전광역시,2022,06,566.31
대전광역시,2022,07,542.22
대전광역시,2022,08,424.22
대전광역시,2022,09,495.28
대전광역시,2022,10,442.24
대전광역시,2022,11,309.14
대전광역시,2022,12,246.74
대전광역시,2023,01,301.68
대전광역시,2023,02,349.63
대전광역시,2023,03,530.89
대전광역시,2023,04,528.21
대전광역시,2023,05,618.41
대전광역시,2023,06,649.34
대전광역시,2023,07,473.98
대전광역시,2023,08,542.41
대전광역시,2023,09,443.12
대전광역시,2023,10,445.48
대전광역시,2023,11,293.28
대전광역시,2023,12,233.54
대전광역시,2024,01,258.56
대전광역시,2024,02,257.65
대전광역시,2024,03,475.82
대전광역시,2024,04,540.2
대전광역시,2024,05,720.64
대전광역시,2024,06,697.02
대전광역시,2024,07,460.51
대전광역시,2024,08,612.88
대전광역시,2024,09,485.82
대전광역시,2024,10,340.01
대전광역시,2024,11,308.4
대전광역시,2024,12,265.25
