지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
진주,2022.1.1,경상대태양광,0.905,3.37896,-2,,0.5,42,8.5,12.13
진주,2022.1.2,경상대태양광,0.905,3.14208,-0.7,,0.8,56.4,8.5,11.46
진주,2022.1.3,경상대태양광,0.905,3.21192,-0.7,,0.5,56.3,8.5,12.18
진주,2022.1.4,경상대태양광,0.905,2.8944,0.1,,0.5,62.5,8.3,10.57
진주,2022.1.5,경상대태양광,0.905,0.90288,2.2,,0.4,41.5,0.2,4.23
진주,2022.1.6,경상대태양광,0.905,3.41352,3,0,0.8,45.6,8.6,12.41
진주,2022.1.7,경상대태양광,0.905,3.30408,-1.2,,0.3,55.5,8.6,12.15
진주,2022.1.8,경상대태양광,0.905,3.30624,-1.1,,0.4,55.8,8.6,12.48
진주,2022.1.9,경상대태양광,0.905,2.40408,0.6,,0.3,70,7.6,9.72
진주,2022.1.10,경상대태양광,0.905,2.79144,1.9,,0.4,71.4,8.3,10.47
진주,2022.1.11,경상대태양광,0.905,3.50928,0.1,,2.3,44.4,8.5,12.84
진주,2022.1.12,경상대태양광,0.905,3.54312,-2.2,,1.1,42,8.7,12.97
진주,2022.1.13,경상대태양광,0.905,3.41784,-2.4,,2,43.8,8.7,12.68
진주,2022.1.14,경상대태양광,0.905,3.56256,-3,,0.5,47.5,8.7,13.26
진주,2022.1.15,경상대태양광,0.905,2.6892,-0.3,,0.4,50,6.6,10.42
진주,2022.1.16,경상대태양광,0.905,3.15792,0.2,,1,55,8.7,11.58
진주,2022.1.17,경상대태양광,0.905,3.168,-1.6,,0.8,55.8,8.1,11.73
진주,2022.1.18,경상대태양광,0.905,3.6504,-2.2,,0.8,36.4,8.8,13.74
진주,2022.1.19,경상대태양광,0.905,3.28176,-1.6,,0.8,47.4,8.8,12.57
진주,2022.1.20,경상대태양광,0.905,3.5712,-1.4,,1,48.4,8.9,13.43
진주,2022.1.21,경상대태양광,0.905,3.31344,-1.9,,0.4,55.3,9,12.84
진주,2022.1.22,경상대태양광,0.905,2.09376,2.3,,0.4,62,5,8.97
진주,2022.1.23,경상대태양광,0.905,1.7028,5.2,,0.4,69.8,3.6,7.96
진주,2022.1.24,경상대태양광,0.905,1.37736,3.9,,1,66.4,1.8,6.48
진주,2022.1.25,경상대태양광,0.905,1.17648,3.8,,0.4,70.4,0.8,5.04
진주,2022.1.26,경상대태양광,0.905,3.2544,2,,0.6,66.8,9.1,12.86
진주,2022.1.27,경상대태양광,0.905,3.18024,2.3,,0.4,59.3,9.1,12.33
진주,2022.1.28,경상대태양광,0.905,3.64248,2,,0.7,44.6,8.7,14.3
진주,2022.1.29,경상대태양광,0.905,3.13992,3.4,,1.5,25.1,7.6,12.51
진주,2022.1.30,경상대태양광,0.905,3.12264,2.1,,1,28.5,8.9,12.32
진주,2022.1.31,경상대태양광,0.905,3.80376,-0.1,,0.7,41.5,9.4,15.04
진주,2022.2.1,경상대태양광,0.905,3.54024,0.7,,1.6,54.3,9,13.69
진주,2022.2.2,경상대태양광,0.905,2.65896,0,,0.9,54.8,6.1,10.89
진주,2022.2.3,경상대태양광,0.905,3.95352,1.3,,1.1,40.9,9.5,15.55
진주,2022.2.4,경상대태양광,0.905,3.762,0.5,,1.6,38.1,9.5,14.81
진주,2022.2.5,경상대태양광,0.905,4.07664,-1.8,,2.3,44,9.5,15.69
진주,2022.2.6,경상대태양광,0.905,3.62448,-1.3,,1.2,46.5,9.3,14.86
진주,2022.2.7,경상대태양광,0.905,1.8504,-1.2,,0.6,53,3.3,8.33
진주,2022.2.8,경상대태양광,0.905,3.7368,1.7,,0.8,42,9.7,15.04
진주,2022.2.9,경상대태양광,0.905,2.88072,1.9,,0.4,56.5,7.6,12.33
진주,2022.2.10,경상대태양광,0.905,3.48768,4.6,,1,45.1,8.7,14.89
진주,2022.2.11,경상대태양광,0.905,3.86424,2.3,,0.7,47.6,9.9,15.96
진주,2022.2.12,경상대태양광,0.905,3.75408,4.3,,0.7,47.4,9.8,15.6
진주,2022.2.13,경상대태양광,0.905,2.86488,6.1,,0.8,56.6,7.3,12.29
진주,2022.2.14,경상대태양광,0.905,2.32632,5.5,,1.1,61.6,4.4,10.38
진주,2022.2.15,경상대태양광,0.905,3.99312,0.2,,1.5,50.3,9.9,16.56
진주,2022.2.16,경상대태양광,0.905,4.21776,-2.9,,1.9,45.4,9.9,17.35
진주,2022.2.17,경상대태양광,0.905,4.08816,-3.4,,1.6,33,9.9,16.75
진주,2022.2.18,경상대태양광,0.905,4.04856,-0.6,,0.6,47.9,10,16.87
진주,2022.2.19,경상대태양광,0.905,2.21832,3.3,,1.3,50.5,4,9.92
진주,2022.2.20,경상대태양광,0.905,4.6224,-1.1,,2.3,32.5,10.1,18.75
진주,2022.2.21,경상대태양광,0.905,4.1256,-0.1,,1.3,47.1,9.9,17.19
진주,2022.2.22,경상대태양광,0.905,4.17312,0.1,,1.6,37.5,9.6,17.38
진주,2022.2.23,경상대태양광,0.905,3.78936,-0.1,,1.9,30,8.3,15.85
진주,2022.2.24,경상대태양광,0.905,4.45392,0.2,,1.3,36.5,10.2,18.96
진주,2022.2.25,경상대태양광,0.905,4.30416,1.9,,0.8,50.6,10.2,18.63
진주,2022.2.26,경상대태양광,0.905,3.9204,5,0,1.3,55.8,10,16.96
