지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
서산,2022.4.1,당진자재창고태양광,0.7,4.003968,7.5,,2.1,64,10.9,22.2
서산,2022.4.2,당진자재창고태양광,0.7,3.867552,4.8,,1.6,68.1,9.8,23.43
서산,2022.4.3,당진자재창고태양광,0.7,3.877344,6.5,,1.5,63.6,11.7,24.04
서산,2022.4.4,당진자재창고태양광,0.7,3.930432,7.5,,1.4,56.6,11.6,24.36
서산,2022.4.5,당진자재창고태양광,0.7,3.315456,7.1,,1.8,56.6,8.6,19.32
서산,2022.4.6,당진자재창고태양광,0.7,3.642912,10,,1.5,62.8,8.7,21.08
서산,2022.4.7,당진자재창고태양광,0.7,3.865056,9.3,0.4,2.4,63.3,9.9,23.48
서산,2022.4.8,당진자재창고태양광,0.7,3.88056,10.5,,1.7,64,11.9,24.57
서산,2022.4.9,당진자재창고태양광,0.7,3.358848,15.6,0,4.7,51.4,9.9,22.23
서산,2022.4.10,당진자재창고태양광,0.7,3.68592,16.7,,3.4,56.4,11.5,23.93
서산,2022.4.11,당진자재창고태양광,0.7,3.497808,17.8,,2.3,74.9,10.5,23.09
서산,2022.4.12,당진자재창고태양광,0.7,2.627088,16.1,,3.4,88.6,4.4,15.98
서산,2022.4.13,당진자재창고태양광,0.7,0.218976,11,16.9,3.1,94.6,0,2.67
서산,2022.4.14,당진자재창고태양광,0.7,2.590416,10,10,4.2,82.9,1.8,11.01
서산,2022.4.15,당진자재창고태양광,0.7,3.969024,10.7,,2.2,64.5,11.4,25.38
서산,2022.4.16,당진자재창고태양광,0.7,4.011984,11.3,,2.2,59.5,11.9,25.93
서산,2022.4.17,당진자재창고태양광,0.7,3.959232,10.5,,1.7,75.3,11,25.63
서산,2022.4.18,당진자재창고태양광,0.7,3.358656,12.3,,1.9,64.8,8,21.14
서산,2022.4.19,당진자재창고태양광,0.7,3.87768,12,,1.9,70.6,11.8,25.54
서산,2022.4.20,당진자재창고태양광,0.7,3.962736,12.4,,1.9,65.9,12,26.17
서산,2022.4.21,당진자재창고태양광,0.7,3.121728,12.5,,2.7,62.9,8.4,21.02
서산,2022.4.22,당진자재창고태양광,0.7,1.193664,13.5,,4.1,85.4,0.4,7.49
서산,2022.4.23,당진자재창고태양광,0.7,3.247536,15.1,,1.3,72.5,8.2,20.78
서산,2022.4.24,당진자재창고태양광,0.7,3.424464,16.5,,1.9,83.9,5.6,21.08
서산,2022.4.25,당진자재창고태양광,0.7,1.645968,19,3.2,1.4,79.4,1.8,12.85
서산,2022.4.26,당진자재창고태양광,0.7,3.50928,17.8,3.6,2.8,78.1,6.8,21.24
서산,2022.4.27,당진자재창고태양광,0.7,3.955248,14.3,,2.4,44.8,11.6,25.75
서산,2022.4.28,당진자재창고태양광,0.7,3.226944,14.6,,1.8,56.5,8.1,22.73
서산,2022.4.29,당진자재창고태양광,0.7,2.598816,12.8,18.1,2.6,79,3,16.29
서산,2022.4.30,당진자재창고태양광,0.7,3.143088,11.9,,2,78,5.2,20.16
서산,2022.5.1,당진자재창고태양광,0.7,4.045296,11.6,,2.8,67.6,11.8,27.45
서산,2022.5.2,당진자재창고태양광,0.7,4.133808,11.4,,2.1,66.4,12.2,27.19
서산,2022.5.3,당진자재창고태양광,0.7,4.061472,11.6,,2.2,61.3,12.6,27.77
서산,2022.5.4,당진자재창고태양광,0.7,3.944976,14.7,,3.2,49,12.4,27.06
서산,2022.5.5,당진자재창고태양광,0.7,4.120944,15.7,,2,64.4,13,28.75
서산,2022.5.6,당진자재창고태양광,0.7,3.947856,18.1,,1.8,74,11.2,26
서산,2022.5.7,당진자재창고태양광,0.7,3.473856,15.5,,2.6,65.4,7.8,23.53
서산,2022.5.8,당진자재창고태양광,0.7,1.353168,15.4,0.5,2.1,61.5,2.8,15.59
서산,2022.5.9,당진자재창고태양광,0.7,4.098864,15.8,,2.5,64.4,10,26.28
서산,2022.5.10,당진자재창고태양광,0.7,3.809568,17.6,0,1.9,48.9,10.2,27.3
서산,2022.5.11,당진자재창고태양광,0.7,3.234816,16.8,0.3,1.6,62.1,6.2,21.68
서산,2022.5.12,당진자재창고태양광,0.7,3.948864,17.5,,2,64.9,10,25.36
서산,2022.5.13,당진자재창고태양광,0.7,2.709504,16.3,,2.6,60.3,5.9,15.93
서산,2022.5.14,당진자재창고태양광,0.7,3.39744,13.4,,3,56.4,11.5,26.01
서산,2022.5.15,당진자재창고태양광,0.7,4.12512,13.4,,2.3,57.9,12.8,29.3
서산,2022.5.16,당진자재창고태양광,0.7,3.946416,14.3,,3,70.4,12.9,28.46
서산,2022.5.17,당진자재창고태양광,0.7,3.764448,17.5,,3.4,71.6,12.3,27.12
서산,2022.5.18,당진자재창고태양광,0.7,3.186528,18.9,,4,60.8,10.7,24.92
서산,2022.5.19,당진자재창고태양광,0.7,2.706288,18.2,,3.7,57.4,6.6,19.48
서산,2022.5.20,당진자재창고태양광,0.7,3.518544,18.5,,2.1,64.6,11.2,26.42
서산,2022.5.21,당진자재창고태양광,0.7,3.36672,17.8,,2.4,81.6,9.1,25.35
서산,2022.5.22,당진자재창고태양광,0.7,3.792672,17.5,,3.4,85,9.9,25.68
서산,2022.5.23,당진자재창고태양광,0.7,3.575712,19.7,,2.4,80.1,10.5,25.11
서산,2022.5.24,당진자재창고태양광,0.7,3.760848,20.1,,1.5,68.8,13.2,28.19
서산,2022.5.25,당진자재창고태양광,0.7,2.761632,19,2,2.2,76.6,8.1,21.76
서산,2022.5.26,당진자재창고태양광,0.7,4.04376,17.5,,3.1,69.3,13.5,29.96
서산,2022.5.27,당진자재창고태양광,0.7,4.026336,19,,3,69,12.5,29.18
서산,2022.5.28,당진자재창고태양광,0.7,3.730512,20.3,,3.6,73.8,12.9,26.83
