지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
보령,2023.1.1,신보령태양광,4.038,11.716124,1,,1.2,59,6.1,
보령,2023.1.2,신보령태양광,4.038,14.136288,-2.3,,1.2,55,8.3,
보령,2023.1.3,신보령태양광,4.038,12.350571,-2.4,,0.8,61,8.5,
보령,2023.1.4,신보령태양광,4.038,10.820612,0,,0.7,65,8.4,
보령,2023.1.5,신보령태양광,4.038,8.885682,1.4,,1.1,65.5,6.5,
보령,2023.1.6,신보령태양광,4.038,7.10575,3.4,1.3,1.9,72.3,3.6,
보령,2023.1.7,신보령태양광,4.038,10.781562,3.6,0,1.2,64.3,8.1,
보령,2023.1.8,신보령태양광,4.038,12.455429,2.3,,1,71.9,7.6,
보령,2023.1.9,신보령태양광,4.038,9.111305,5.1,,1.8,64.4,5.8,
보령,2023.1.10,신보령태양광,4.038,14.538126,0.1,,0.5,69.5,7.9,
보령,2023.1.11,신보령태양광,4.038,14.026853,1.9,,0.9,71.8,8.6,
보령,2023.1.12,신보령태양광,4.038,14.373246,8.8,0.2,1.4,53,8.6,
보령,2023.1.13,신보령태양광,4.038,1.140419,10.6,14.5,2,94.5,0,
보령,2023.1.14,신보령태양광,4.038,1.158256,5.8,0,0.7,97.4,0,
보령,2023.1.15,신보령태양광,4.038,1.33037,0,0.8,1.3,76.5,0,
보령,2023.1.16,신보령태양광,4.038,14.024926,-3.1,,1.2,56.9,8.6,
보령,2023.1.17,신보령태양광,4.038,13.375771,-1.7,,,64,7.5,
보령,2023.1.18,신보령태양광,4.038,10.359479,-0.2,0.2,0.5,69,6.3,
보령,2023.1.19,신보령태양광,4.038,12.876792,2.1,,2.6,57.9,6.8,
보령,2023.1.20,신보령태양광,4.038,13.081685,-0.5,,1.6,51.5,7.6,
보령,2023.1.21,신보령태양광,4.038,16.789075,-2,,1.2,58.5,8.7,
보령,2023.1.22,신보령태양광,4.038,3.932053,1.8,,1.4,53.9,0,
보령,2023.1.23,신보령태양광,4.038,10.184232,1.1,,1.5,64.4,6.6,
보령,2023.1.24,신보령태양광,4.038,8.730684,-9.8,0,3.8,62.1,6.2,
보령,2023.1.25,신보령태양광,4.038,17.202,-9.1,,1.2,55,8.7,
보령,2023.1.26,신보령태양광,4.038,0,-3,2.2,1.2,80.6,0,
보령,2023.1.27,신보령태양광,4.038,7.300277,-5,0,2.4,61.1,8.8,
보령,2023.1.28,신보령태양광,4.038,4.913617,-5.6,0,0.9,73.9,2.3,
보령,2023.1.29,신보령태양광,4.038,12.129287,0,0,1.8,67,6.7,
보령,2023.1.30,신보령태양광,4.038,16.091228,-0.5,,0.7,58.5,8.8,
보령,2023.1.31,신보령태양광,4.038,16.136,3.8,,3.1,63.6,8.8,
보령,2023.2.1,신보령태양광,4.038,13.392,2.5,,1.5,65.9,8.1,
보령,2023.2.2,신보령태양광,4.038,12.314,-1.3,,1.7,54.6,7.6,
보령,2023.2.3,신보령태양광,4.038,12.827,-1.1,,0.6,56.5,,
보령,2023.2.4,신보령태양광,4.038,16.07,-0.5,,0.9,67.8,9,
보령,2023.2.5,신보령태양광,4.038,16.776,0.7,,1.1,72.8,9,
보령,2023.2.6,신보령태양광,4.038,12.052873,3.5,,1.3,61.3,6,
