발전기명,변수명,회귀계수,p-value,유의성,R²,RMSE,사용변수수,데이터수
당진자재창고태양광,설비용량(MW),0.2313029191993144,0.0,***,0.8744,0.3885,5,1159
당진자재창고태양광,평균기온(°C),-0.004678024997274585,0.0038,**,0.8744,0.3885,5,1159
당진자재창고태양광,일강수량(mm),-0.002665382327187895,0.0003,***,0.8744,0.3885,5,1159
당진자재창고태양광,합계 일조시간(hr),0.08625179393459784,0.0,***,0.8744,0.3885,5,1159
당진자재창고태양광,합계 일사량(MJ/m2),0.09318092467298397,0.0,***,0.8744,0.3885,5,1159
당진태양광,설비용량(MW),0.6530278010131849,0.0,***,0.7936,0.723,5,1158
당진태양광,일강수량(mm),-0.004910699617990689,0.0002,***,0.7936,0.723,5,1158
당진태양광,평균 상대습도(%),-0.006518905312242333,0.0041,**,0.7936,0.723,5,1158
당진태양광,합계 일조시간(hr),0.1577701767349891,0.0,***,0.7936,0.723,5,1158
당진태양광,합계 일사량(MJ/m2),0.10047455893225063,0.0,***,0.7936,0.723,5,1158
당진화력수상태양광,설비용량(MW),0.29333743058480893,0.0,***,0.8556,0.5723,5,1159
당진화력수상태양광,평균기온(°C),-0.010757024998983233,0.0,***,0.8556,0.5723,5,1159
당진화력수상태양광,일강수량(mm),-0.0027138275086291304,0.0126,*,0.8556,0.5723,5,1159
당진화력수상태양광,합계 일조시간(hr),0.061343667199788704,0.0,***,0.8556,0.5723,5,1159
당진화력수상태양광,합계 일사량(MJ/m2),0.15706833281807353,0.0,***,0.8556,0.5723,5,1159
동해바이오화력본부 태양광,설비용량(MW),0.5146706168618115,0.0,***,0.8967,0.7956,4,430
동해바이오화력본부 태양광,평균기온(°C),-0.052294102201820264,0.0,***,0.8967,0.7956,4,430
동해바이오화력본부 태양광,합계 일조시간(hr),0.038083473749444874,0.0772,,0.8967,0.7956,4,430
동해바이오화력본부 태양광,합계 일사량(MJ/m2),0.2936852355711215,0.0,***,0.8967,0.7956,4,430
울산태양광#1,설비용량(MW),0.20499260020834853,0.0,***,0.8756,0.263,6,864
울산태양광#1,평균기온(°C),-0.005515246332231178,0.0023,**,0.8756,0.263,6,864
울산태양광#1,일강수량(mm),-0.0019370402465740027,0.0178,*,0.8756,0.263,6,864
울산태양광#1,평균 상대습도(%),-0.002302347948205069,0.0129,*,0.8756,0.263,6,864
울산태양광#1,합계 일조시간(hr),0.04458798091633567,0.0,***,0.8756,0.263,6,864
울산태양광#1,합계 일사량(MJ/m2),0.07046192093537276,0.0,***,0.8756,0.263,6,864
