발전기명,변수명,회귀계수,p-value,유의성,R²,RMSE,사용변수수,데이터수
보령태양광,설비용량(MW),2.6237996701076556,0.0024,**,0.9275,1.3836,4,269
보령태양광,평균기온(°C),-0.10359118009371558,0.0,***,0.9275,1.3836,4,269
보령태양광,합계 일조시간(hr),0.4074405939911047,0.0,***,0.9275,1.3836,4,269
보령태양광,합계 일사량(MJ/m2),0.45303689208942616,0.0,***,0.9275,1.3836,4,269
서울태양광,설비용량(MW),1.1656775863909632,0.0,***,0.9052,0.6511,6,685
서울태양광,평균기온(°C),-0.011572651688252,0.0033,**,0.9052,0.6511,6,685
서울태양광,일강수량(mm),-0.007928250154385287,0.0005,***,0.9052,0.6511,6,685
서울태양광,평균 상대습도(%),-0.014986056734794818,0.0,***,0.9052,0.6511,6,685
서울태양광,합계 일조시간(hr),0.21416483970439562,0.0,***,0.9052,0.6511,6,685
서울태양광,합계 일사량(MJ/m2),0.136352642101212,0.0,***,0.9052,0.6511,6,685
서천태양광,설비용량(MW),2.6631660137309647,0.0,***,0.8516,2.3355,5,691
서천태양광,평균 풍속(m/s),-0.564227456544851,0.0,***,0.8516,2.3355,5,691
서천태양광,평균 상대습도(%),-0.02623496393850422,0.0012,**,0.8516,2.3355,5,691
서천태양광,합계 일조시간(hr),0.22111003606691315,0.0,***,0.8516,2.3355,5,691
서천태양광,합계 일사량(MJ/m2),0.6026022417551883,0.0,***,0.8516,2.3355,5,691
세종태양광,설비용량(MW),0.1256281473513389,0.0,***,0.9671,0.0896,5,679
세종태양광,평균기온(°C),-0.0029543712409824396,0.0,***,0.9671,0.0896,5,679
세종태양광,평균 상대습도(%),-0.0032663675298517363,0.0,***,0.9671,0.0896,5,679
세종태양광,합계 일조시간(hr),0.03127180020269976,0.0,***,0.9671,0.0896,5,679
세종태양광,합계 일사량(MJ/m2),0.04811446424571475,0.0,***,0.9671,0.0896,5,679
신보령태양광,설비용량(MW),0.8116101260375724,0.0,***,0.8652,2.4173,4,267
신보령태양광,평균기온(°C),-0.09495729356196195,0.0,***,0.8652,2.4173,4,267
신보령태양광,합계 일조시간(hr),0.4919781679435048,0.0,***,0.8652,2.4173,4,267
신보령태양광,합계 일사량(MJ/m2),0.571550410175133,0.0,***,0.8652,2.4173,4,267
여수엑스포태양광,설비용량(MW),1.7279949899451463,0.0,***,0.9329,0.9416,5,692
여수엑스포태양광,평균기온(°C),-0.050301270966123635,0.0,***,0.9329,0.9416,5,692
여수엑스포태양광,평균 상대습도(%),-0.031475044646776286,0.0,***,0.9329,0.9416,5,692
여수엑스포태양광,합계 일조시간(hr),0.4252823351777657,0.0,***,0.9329,0.9416,5,692
여수엑스포태양광,합계 일사량(MJ/m2),0.21276440628182453,0.0,***,0.9329,0.9416,5,692
인천아시아드태양광,평균 상대습도(%),-0.0382211188633279,0.0007,***,0.7773,1.6433,3,235
인천아시아드태양광,합계 일조시간(hr),0.3621984835859676,0.0,***,0.7773,1.6433,3,235
인천아시아드태양광,합계 일사량(MJ/m2),0.1762858033342677,0.0,***,0.7773,1.6433,3,235
인천태양광,설비용량(MW),0.52645348762473,0.0,***,0.9325,0.5342,6,678
인천태양광,평균기온(°C),-0.01419809497118471,0.0,***,0.9325,0.5342,6,678
인천태양광,평균 풍속(m/s),0.03999273043898223,0.0752,,0.9325,0.5342,6,678
인천태양광,평균 상대습도(%),-0.009357789343271814,0.0,***,0.9325,0.5342,6,678
인천태양광,합계 일조시간(hr),0.1345945431489437,0.0,***,0.9325,0.5342,6,678
인천태양광,합계 일사량(MJ/m2),0.19530159040240178,0.0,***,0.9325,0.5342,6,678
제주대태양광,설비용량(MW),1.1590635841275567,0.0,***,0.8736,0.6337,6,666
제주대태양광,평균기온(°C),-0.04144524738838151,0.0,***,0.8736,0.6337,6,666
제주대태양광,평균 풍속(m/s),-0.10149145070064913,0.0,***,0.8736,0.6337,6,666
제주대태양광,평균 상대습도(%),-0.012316077950483714,0.0,***,0.8736,0.6337,6,666
제주대태양광,합계 일조시간(hr),0.15820964129747905,0.0,***,0.8736,0.6337,6,666
제주대태양광,합계 일사량(MJ/m2),0.12271158682339244,0.0,***,0.8736,0.6337,6,666
제주성읍리태양광,설비용량(MW),1.6968415577648006,0.0,***,0.6518,1.8723,5,236
제주성읍리태양광,일강수량(mm),-0.018252784117255467,0.0023,**,0.6518,1.8723,5,236
제주성읍리태양광,평균 풍속(m/s),-0.7146527575266685,0.0,***,0.6518,1.8723,5,236
제주성읍리태양광,합계 일조시간(hr),0.29353767539778086,0.0001,***,0.6518,1.8723,5,236
제주성읍리태양광,합계 일사량(MJ/m2),0.12644180143015243,0.0013,**,0.6518,1.8723,5,236
제주태양광,설비용량(MW),0.38399667754246675,0.0,***,0.9455,0.4321,5,686
제주태양광,평균기온(°C),-0.01444362756345939,0.0,***,0.9455,0.4321,5,686
제주태양광,평균 상대습도(%),-0.006399922237759786,0.0008,***,0.9455,0.4321,5,686
제주태양광,합계 일조시간(hr),0.04450025273589214,0.0,***,0.9455,0.4321,5,686
제주태양광,합계 일사량(MJ/m2),0.19606659994534748,0.0,***,0.9455,0.4321,5,686
