시도	날짜	풍속	기온	일조시간	일사량	발전설비	발전량
강원	2020년 1월	1.568663594	0.733164363	159.4428571	127.2514286	828.712644	"65,226.25"
강원	2020년 2월	1.721498944	1.731113652	180.1785714	166.0957143	874.382058	"80,782.37"
강원	2020년 3월	1.959907834	6.523041475	241.85	257.4	874.382058	"118,704.51"
강원	2020년 4월	2.201904762	9.640952381	250.7571429	296.8028571	896.014238	"129,195.14"
강원	2020년 5월	1.770737327	16.74516129	211.2785714	297.725	934.947421	"120,386.6"
강원	2020년 6월	1.66952381	22.41714286	224.9214286	312.8264286	969.734198	"128,637.54"
강원	2020년 7월	1.456912442	21.77327189	143.5928571	239.5778571	1017.516595	"103,794.64"
강원	2020년 8월	1.41843318	25.05990783	114.0428571	187.1392857	1031.37595	"80,452.04"
강원	2020년 9월	1.763095238	18.67	151.6142857	202.8357143	1030.54495	"94,503.37"
강원	2020년 10월	1.298156682	11.86359447	208.8428571	206.5121429	1071.573514	"119,059.25"
강원	2020년 11월	1.626904762	6.990952381	180.7071429	145.0728571	1099.752599	"93,841.05"
강원	2020년 12월	1.644930876	-1.525637481	194.1071429	137.0292857	1141.974069	"79,276.8"
강원	2021년 1월	1.785483871	-3.423655914	181.1571429	139.9478571	1155.302637	"89,760.12"
강원	2021년 2월	2.03877551	1.804365079	197.1928571	176.95	1193.169657	"121,608.83"
강원	2021년 3월	1.727419355	7.300921659	205.1571429	232.2971429	1238.968837	"143,234.98"
강원	2021년 4월	1.861190476	11.93142857	221.5642857	283.7557143	1257.961307	"168,182.65"
강원	2021년 5월	1.707142857	15.50414747	201.8142857	285.975	1257.478607	"158,589.59"
강원	2021년 6월	1.407857143	20.56880952	184.2857143	290.8078571	1263.089605	"156,917.38"
강원	2021년 7월	1.203917051	25.29953917	236.1428571	335.6821429	1306.523258	"175,399.9"
강원	2021년 8월	1.333179724	23.440553	122.0928571	215.5292857	1321.043733	"122,200.59"
강원	2021년 9월	1.353087028	19.90142857	163.75	218.3728571	1343.139718	"134,279.85"
강원	2021년 10월	1.198156682	13.58525346	157.3571429	171.3228571	1362.141523	"120,398.55"
강원	2021년 11월	1.70047619	6.903333333	171.9428571	139.9535714	1368.931733	"106,350.75"
강원	2021년 12월	1.810599078	0.058571429	179.4357143	129.27	1396.092338	"100,205.3"
강원	2022년 1월	1.394700461	-2.941013825	202.5928571	153.77	1418.701243	"123,900.45"
강원	2022년 2월	2.015306122	-1.890608466	216.9642857	192.2385714	1444.748478	"152,963.24"
강원	2022년 3월	1.752534562	6.238248848	187.6928571	215.2614286	1461.727363	"157,144.74"
강원	2022년 4월	1.91	13.21261905	252.25	305.4121429	1469.664868	"212,047.22"
강원	2022년 5월	1.823502304	17.27557604	285.0071429	360.5021429	1481.221243	"232,756.74"
강원	2022년 6월	1.69819376	21.27666667	164.2357143	256.6242857	1504.952843	"162,953.25"
강원	2022년 7월	1.166129032	24.79331797	161.5357143	274.0185714	1512.892198	"167,842.96"
강원	2022년 8월	1.294930876	24.01766513	124.7	212.0428571	1554.561193	"134,835.4"
강원	2022년 9월	1.399285714	19.36285714	184.45	240.1528571	1548.943263	"166,621.62"
강원	2022년 10월	1.301382488	12.25898618	158.9357143	182.9828571	1554.600983	"145,915.52"
강원	2022년 11월	1.283095238	8.212380952	174.3785714	142.5028571	1561.876336	"125,943.43"
강원	2022년 12월	1.742165899	-3.578248848	179.25	130.3635714	1567.163191	"94,968.96"
강원	2023년 1월	1.496543779	-2.682718894	178.2142857	144.3885714	1583.649801	"102,653.16"
강원	2023년 2월	1.430102041	0.956831066	178.3714286	168.9471429	1598.892621	"148,092.61"
강원	2023년 3월	1.598387097	8.257603687	232.3857143	248.5257143	1608.145986	"204,305.78"
강원	2023년 4월	1.925714286	12.1727422	197.5428571	259.2371429	1627.645121	"191,988.9"
강원	2023년 5월	1.56359447	17.19815668	234.8928571	317.5278571	1632.218446	"226,017.19"
강원	2023년 6월	1.475952381	21.60534392	222.7357143	313.72	1638.664186	"215,012.93"
