지역,연,월,일사합 평균(MJ/m²)
부산광역시,2020,01,283.59
부산광역시,2020,02,373.12
부산광역시,2020,03,534.87
부산광역시,2020,04,649.75
부산광역시,2020,05,645.68
부산광역시,2020,06,660.4
부산광역시,2020,07,393.46
부산광역시,2020,08,582.67
부산광역시,2020,09,437.36
부산광역시,2020,10,462.44
부산광역시,2020,11,339.04
부산광역시,2020,12,330.87
부산광역시,2021,01,318.28
부산광역시,2021,02,393.23
부산광역시,2021,03,515.26
부산광역시,2021,04,646.07
부산광역시,2021,05,585.96
부산광역시,2021,06,630.93
부산광역시,2021,07,603.76
부산광역시,2021,08,500.44
부산광역시,2021,09,367.94
부산광역시,2021,10,453.21
부산광역시,2021,11,359.73
부산광역시,2021,12,339.36
부산광역시,2022,01,369.0
부산광역시,2022,02,446.81
부산광역시,2022,03,479.0
부산광역시,2022,04,611.32
부산광역시,2022,05,796.12
부산광역시,2022,06,554.45
부산광역시,2022,07,622.11
부산광역시,2022,08,524.39
부산광역시,2022,09,435.03
부산광역시,2022,10,459.77
부산광역시,2022,11,331.73
부산광역시,2022,12,332.4
부산광역시,2023,01,362.71
부산광역시,2023,02,372.98
부산광역시,2023,03,522.09
부산광역시,2023,04,577.61
부산광역시,2023,05,561.64
부산광역시,2023,06,618.05
부산광역시,2023,07,513.02
부산광역시,2023,08,592.52
부산광역시,2023,09,433.06
부산광역시,2023,10,491.43
부산광역시,2023,11,361.4
부산광역시,2023,12,298.41
부산광역시,2024,01,342.85
부산광역시,2024,02,278.68
부산광역시,2024,03,507.97
부산광역시,2024,04,527.18
부산광역시,2024,05,743.56
부산광역시,2024,06,594.02
부산광역시,2024,07,546.79
부산광역시,2024,08,707.85
부산광역시,2024,09,516.15
부산광역시,2024,10,355.89
부산광역시,2024,11,322.67
부산광역시,2024,12,347.86
