관측시각,지점,풍속,풍향,기온,습도,강수량,일조,일사,시도
,98,,,7.9,62.0,6.6,,,경기
,99,,,6.6,75.0,7.3,,,경기
,119,,,11.6,58.0,7.9,,,경기
,202,,,8.0,74.0,7.9,,,경기
,203,,,8.4,73.0,8.0,,,경기
,239,,,9.6,75.0,8.9,,,세종
,165,,,13.2,64.0,9.7,,,전남
,168,,,14.5,60.0,9.9,,,전남
,169,,,15.8,61.0,10.9,,,전남
,170,,,14.3,67.0,10.9,,,전남
,174,,,12.4,67.0,9.6,,,전남
,252,,,11.3,62.0,8.2,,,전남
,258,,,15.6,61.0,10.7,,,전남
,259,,,14.4,61.0,9.9,,,전남
,260,,,12.9,71.0,10.5,,,전남
,261,,,12.2,75.0,10.6,,,전남
,262,,,16.1,64.0,11.6,,,전남
,266,,,16.3,55.0,10.2,,,전남
,268,,,13.2,60.0,9.0,,,전남
