시도,날짜,풍속,풍향,기온,습도,강수량,일조,일사
경기,2019-01-01,1269.0,1.46,0.21999999999999997,-13.7,-13.66,9.639999999999999,
경기,2019-01-02,816.6,0.9400000000000001,1.34,-13.319999999999999,-15.26,9.639999999999999,
경기,2019-01-03,579.6,0.64,3.28,-13.34,-15.220000000000002,9.66,
경기,2019-01-04,633.0,0.74,3.7399999999999998,-11.3,-9.940000000000001,9.66,
경기,2019-01-05,1239.8,1.4,2.58,-8.48,-14.64,9.66,
경기,2019-01-06,838.4,0.9800000000000001,3.2600000000000002,-9.959999999999999,-15.0,9.7,
경기,2019-01-07,780.2,0.9199999999999999,3.7,-11.32,-11.76,9.7,
경기,2019-01-08,1953.4,2.2600000000000002,1.78,-9.98,-16.82,9.74,
경기,2019-01-09,768.4,0.8800000000000001,0.06000000000000001,-13.1,-18.380000000000003,9.74,
경기,2019-01-10,969.6,1.1199999999999999,3.5799999999999996,-7.08,-10.440000000000001,9.76,
경기,2019-01-11,657.4,0.74,6.76,-4.0600000000000005,-5.86,9.76,
경기,2019-01-12,803.8,0.9199999999999999,8.440000000000001,-3.5799999999999996,-6.4799999999999995,9.8,
경기,2019-01-13,750.6,0.8800000000000001,8.379999999999999,-7.4,-7.42,9.8,
경기,2019-01-14,525.6,0.6,4.0,-6.625,-4.84,9.84,
경기,2019-01-15,1935.2,2.2600000000000002,2.92,-7.74,-9.25,9.860000000000001,
경기,2019-01-16,1298.0,1.5,-0.6199999999999999,-12.14,-15.8,9.9,
경기,2019-01-17,1152.6,1.3199999999999998,5.2,-7.08,-11.7,9.9,
경기,2019-01-18,689.6,0.8,6.720000000000001,-9.82,-10.379999999999999,9.940000000000001,
경기,2019-01-19,540.8,0.62,7.88,-4.0,-4.9799999999999995,9.959999999999999,
경기,2019-01-20,2400.6,2.78,2.92,-6.0,-13.62,9.959999999999999,
경기,2019-01-21,1102.4,1.28,4.0,-10.74,-9.459999999999999,10.0,
경기,2019-01-22,1090.8,1.28,7.74,-7.94,-5.96,10.040000000000001,
경기,2019-01-23,1365.2,1.56,8.32,-5.875,-9.98,10.059999999999999,
경기,2019-01-24,936.0,1.0799999999999998,7.0,-9.1,-15.059999999999999,10.1,
경기,2019-01-25,1605.2,1.86,3.72,-8.76,-16.02,10.1,
경기,2019-01-26,1705.6,2.0,3.4200000000000004,-7.9,-17.06,10.139999999999999,
경기,2019-01-27,1149.8,1.34,5.24,-11.620000000000001,-9.58,10.16,
경기,2019-01-28,2371.4,2.7600000000000002,4.9,-4.18,-11.2,10.2,
경기,2019-01-29,912.2,1.06,6.82,-9.82,-13.719999999999999,10.24,
경기,2019-01-30,951.6,1.1,7.9799999999999995,-6.6,-6.675,10.26,
경기,2019-01-31,1702.2,1.9600000000000002,2.02,-6.94,-16.7,10.3,
