지역,연,월,일사합 평균(MJ/m²)
세종특별자치시,2023,1,130.23
세종특별자치시,2023,2,322.51
세종특별자치시,2023,3,515.47
세종특별자치시,2023,4,513.1
세종특별자치시,2023,5,604.17
세종특별자치시,2023,6,636.17
세종특별자치시,2023,7,471.66
세종특별자치시,2023,8,539.98
세종특별자치시,2023,9,426.61
세종특별자치시,2023,10,428.58
세종특별자치시,2023,11,285.43
세종특별자치시,2023,12,213.06
세종특별자치시,2024,1,257.04
세종특별자치시,2024,2,250.71
세종특별자치시,2024,3,462.96
세종특별자치시,2024,4,521.87
세종특별자치시,2024,5,704.92
세종특별자치시,2024,6,679.58
세종특별자치시,2024,7,474.31
세종특별자치시,2024,8,607.05
세종특별자치시,2024,9,480.1
세종특별자치시,2024,10,314.76
세종특별자치시,2024,11,292.93
세종특별자치시,2024,12,261.6
세종특별자치시,2025,1,268.35
세종특별자치시,2025,2,382.71
세종특별자치시,2025,3,470.26
세종특별자치시,2025,4,593.77
세종특별자치시,2025,5,573.93
세종특별자치시,2025,6,605.46
세종특별자치시,2025,7,650.48
세종특별자치시,2025,8,577.93
세종특별자치시,2025,9,375.79
세종특별자치시,2025,10,157.4
