발전기명,날짜,일별_총_일사량(SI_Sum)
경상대태양광,2023-01-01,10.5
경상대태양광,2023-01-02,10.9
경상대태양광,2023-01-03,11.9
경상대태양광,2023-01-04,11.1
경상대태양광,2023-01-05,9.2
경상대태양광,2023-01-06,10.7
경상대태양광,2023-01-07,10.5
경상대태양광,2023-01-08,11.2
경상대태양광,2023-01-09,10.2
경상대태양광,2023-01-10,11.7
경상대태양광,2023-01-11,11.1
경상대태양광,2023-01-12,10.3
경상대태양광,2023-01-13,5.1
경상대태양광,2023-01-14,1.4000000000000001
경상대태양광,2023-01-15,2.8
경상대태양광,2023-01-16,12.4
경상대태양광,2023-01-17,11.7
경상대태양광,2023-01-18,9.700000000000001
경상대태양광,2023-01-19,12.5
경상대태양광,2023-01-20,12.4
경상대태양광,2023-01-21,13.3
경상대태양광,2023-01-22,4.4
경상대태양광,2023-01-23,12.1
경상대태양광,2023-01-24,14.299999999999999
경상대태양광,2023-01-25,14.2
경상대태양광,2023-01-26,6.8
경상대태양광,2023-01-27,13.9
경상대태양광,2023-01-28,12.700000000000001
경상대태양광,2023-01-29,13.3
경상대태양광,2023-01-30,13.8
경상대태양광,2023-01-31,13.5
경상대태양광,2023-02-01,12.700000000000001
경상대태양광,2023-02-02,11.3
경상대태양광,2023-02-03,11.1
경상대태양광,2023-02-04,13.4
경상대태양광,2023-02-05,14.5
경상대태양광,2023-02-06,10.9
경상대태양광,2023-02-07,13.5
경상대태양광,2023-02-08,14.8
경상대태양광,2023-02-09,10.3
경상대태양광,2023-02-10,12.3
경상대태양광,2023-02-11,8.2
경상대태양광,2023-02-12,6.0
경상대태양광,2023-02-13,5.9
경상대태양광,2023-02-14,15.4
경상대태양광,2023-02-15,8.3
경상대태양광,2023-02-16,9.9
경상대태양광,2023-02-17,6.1000000000000005
경상대태양광,2023-02-18,2.7
경상대태양광,2023-02-19,15.1
경상대태양광,2023-02-20,17.2
경상대태양광,2023-02-21,17.900000000000002
경상대태양광,2023-02-22,16.0
경상대태양광,2023-02-23,16.8
경상대태양광,2023-02-24,16.5
경상대태양광,2023-02-25,18.400000000000002
경상대태양광,2023-02-26,18.9
경상대태양광,2023-02-27,18.8
경상대태양광,2023-02-28,18.1
경상대태양광,2023-03-01,9.6
경상대태양광,2023-03-02,19.3
경상대태양광,2023-03-03,18.7
경상대태양광,2023-03-04,15.100000000000001
경상대태양광,2023-03-05,18.4
경상대태양광,2023-03-06,19.099999999999998
경상대태양광,2023-03-07,17.0
경상대태양광,2023-03-08,17.2
경상대태양광,2023-03-09,16.0
경상대태양광,2023-03-10,19.2
경상대태양광,2023-03-11,17.2
경상대태양광,2023-03-12,6.8
경상대태양광,2023-03-13,21.2
경상대태양광,2023-03-14,20.7
경상대태양광,2023-03-15,19.9
경상대태양광,2023-03-16,19.8
경상대태양광,2023-03-17,9.9
경상대태양광,2023-03-18,17.0
경상대태양광,2023-03-19,22.0
경상대태양광,2023-03-20,20.599999999999998
경상대태양광,2023-03-21,18.3
경상대태양광,2023-03-22,6.4
경상대태양광,2023-03-23,3.7
경상대태양광,2023-03-24,2.9
경상대태양광,2023-03-25,8.6
경상대태양광,2023-03-26,18.8
경상대태양광,2023-03-27,24.0
경상대태양광,2023-03-28,23.1
경상대태양광,2023-03-29,23.2
경상대태양광,2023-03-30,17.2
경상대태양광,2023-03-31,23.7
경상대태양광,2023-04-01,21.8
경상대태양광,2023-04-02,24.2
경상대태양광,2023-04-03,24.1
경상대태양광,2023-04-04,12.6
경상대태양광,2023-04-05,2.8000000000000003
경상대태양광,2023-04-06,8.4
경상대태양광,2023-04-07,23.7
경상대태양광,2023-04-08,25.2
경상대태양광,2023-04-09,25.5
경상대태양광,2023-04-10,24.2
경상대태양광,2023-04-11,11.6
경상대태양광,2023-04-12,26.2
경상대태양광,2023-04-13,24.3
경상대태양광,2023-04-14,6.2
경상대태양광,2023-04-15,10.0
경상대태양광,2023-04-16,16.4
경상대태양광,2023-04-17,24.3
경상대태양광,2023-04-18,6.6
경상대태양광,2023-04-19,5.7
경상대태양광,2023-04-20,23.7
경상대태양광,2023-04-21,18.7
경상대태양광,2023-04-22,25.5
경상대태양광,2023-04-23,15.200000000000001
경상대태양광,2023-04-24,8.0
경상대태양광,2023-04-25,4.9
경상대태양광,2023-04-26,27.0
경상대태양광,2023-04-27,26.8
경상대태양광,2023-04-28,23.599999999999998
경상대태양광,2023-04-29,7.1
경상대태양광,2023-04-30,27.4
경상대태양광,2023-05-01,26.7
경상대태양광,2023-05-02,25.4
경상대태양광,2023-05-03,12.9
경상대태양광,2023-05-04,3.8
경상대태양광,2023-05-05,2.4
경상대태양광,2023-05-06,3.5
경상대태양광,2023-05-07,5.4
경상대태양광,2023-05-08,25.3
경상대태양광,2023-05-09,26.8
경상대태양광,2023-05-10,23.2
경상대태양광,2023-05-11,24.7
경상대태양광,2023-05-12,19.3
경상대태양광,2023-05-13,15.1
경상대태양광,2023-05-14,23.4
경상대태양광,2023-05-15,25.4
경상대태양광,2023-05-16,26.099999999999998
경상대태양광,2023-05-17,26.2
경상대태양광,2023-05-18,6.3999999999999995
경상대태양광,2023-05-19,11.3
경상대태양광,2023-05-20,27.1
경상대태양광,2023-05-21,26.5
경상대태양광,2023-05-22,8.6
경상대태양광,2023-05-23,25.5
경상대태양광,2023-05-24,21.3
경상대태양광,2023-05-25,26.8
경상대태양광,2023-05-26,11.8
경상대태양광,2023-05-27,18.0
경상대태양광,2023-05-28,5.4
경상대태양광,2023-05-29,5.2
경상대태양광,2023-05-30,10.9
