지역,연도,월,일사합 평균(MJ/m²)
강원특별자치도,2020,01,259.93
강원특별자치도,2020,02,330.77
강원특별자치도,2020,03,518.41
강원특별자치도,2020,04,589.15
강원특별자치도,2020,05,611.3
강원특별자치도,2020,06,581.99
강원특별자치도,2020,07,519.25
강원특별자치도,2020,08,408.63
강원특별자치도,2020,09,417.67
강원특별자치도,2020,10,410.61
강원특별자치도,2020,11,304.13
강원특별자치도,2020,12,276.17
강원특별자치도,2021,01,279.47
강원특별자치도,2021,02,372.75
강원특별자치도,2021,03,466.61
강원특별자치도,2021,04,565.53
강원특별자치도,2021,05,573.55
강원특별자치도,2021,06,565.98
강원특별자치도,2021,07,650.8
강원특별자치도,2021,08,452.86
강원특별자치도,2021,09,429.71
강원특별자치도,2021,10,348.6
강원특별자치도,2021,11,286.43
강원특별자치도,2021,12,264.3
강원특별자치도,2022,01,304.61
강원특별자치도,2022,02,388.32
강원특별자치도,2022,03,422.87
강원특별자치도,2022,04,590.94
강원특별자치도,2022,05,676.54
강원특별자치도,2022,06,532.68
강원특별자치도,2022,07,561.09
강원특별자치도,2022,08,437.27
강원특별자치도,2022,09,469.21
강원특별자치도,2022,10,379.68
강원특별자치도,2022,11,299.37
강원특별자치도,2022,12,271.05
강원특별자치도,2023,01,288.78
강원특별자치도,2023,02,337.75
강원특별자치도,2023,03,511.34
강원특별자치도,2023,04,518.47
강원특별자치도,2023,05,636.0
강원특별자치도,2023,06,627.3
강원특별자치도,2023,07,535.45
강원특별자치도,2023,08,491.14
강원특별자치도,2023,09,424.72
강원특별자치도,2023,10,399.09
강원특별자치도,2023,11,289.23
강원특별자치도,2023,12,228.09
강원특별자치도,2024,01,284.34
강원특별자치도,2024,02,253.73
강원특별자치도,2024,03,453.21
강원특별자치도,2024,04,496.77
강원특별자치도,2024,05,600.99
강원특별자치도,2024,06,677.75
강원특별자치도,2024,07,468.42
강원특별자치도,2024,08,557.66
강원특별자치도,2024,09,416.02
강원특별자치도,2024,10,341.41
강원특별자치도,2024,11,288.24
강원특별자치도,2024,12,274.04
