지역,연,월,일사합 평균(MJ/m²)
경기도,2020,01,249.4
경기도,2020,02,320.22
경기도,2020,03,520.32
경기도,2020,04,639.12
경기도,2020,05,559.39
경기도,2020,06,579.08
경기도,2020,07,436.97
경기도,2020,08,357.68
경기도,2020,09,428.77
경기도,2020,10,415.47
경기도,2020,11,269.88
경기도,2020,12,261.57
경기도,2021,01,275.0
경기도,2021,02,335.0
경기도,2021,03,457.07
경기도,2021,04,541.96
경기도,2021,05,544.33
경기도,2021,06,575.34
경기도,2021,07,608.7
경기도,2021,08,426.72
경기도,2021,09,428.47
경기도,2021,10,366.94
경기도,2021,11,261.76
경기도,2021,12,244.23
경기도,2022,01,302.75
경기도,2022,02,369.63
경기도,2022,03,411.98
경기도,2022,04,593.27
경기도,2022,05,731.25
경기도,2022,06,465.63
경기도,2022,07,543.26
경기도,2022,08,413.62
경기도,2022,09,470.32
경기도,2022,10,408.29
경기도,2022,11,284.86
경기도,2022,12,257.28
경기도,2023,01,286.68
경기도,2023,02,360.11
경기도,2023,03,520.65
경기도,2023,04,512.8
경기도,2023,05,617.13
경기도,2023,06,595.79
경기도,2023,07,497.13
경기도,2023,08,535.43
경기도,2023,09,426.86
경기도,2023,10,415.63
경기도,2023,11,276.07
경기도,2023,12,216.74
경기도,2024,01,265.75
경기도,2024,02,245.95
경기도,2024,03,472.32
경기도,2024,04,551.23
경기도,2024,05,680.16
경기도,2024,06,712.7
경기도,2024,07,439.49
경기도,2024,08,581.56
경기도,2024,09,455.02
경기도,2024,10,363.49
경기도,2024,11,290.06
경기도,2024,12,271.6
