지역,연,월,일사합 평균(MJ/m²)
경상남도,2020,01,235.29
경상남도,2020,02,351.99
경상남도,2020,03,529.68
경상남도,2020,04,626.43
경상남도,2020,05,615.57
경상남도,2020,06,626.31
경상남도,2020,07,372.98
경상남도,2020,08,521.51
경상남도,2020,09,404.49
경상남도,2020,10,449.76
경상남도,2020,11,314.08
경상남도,2020,12,304.49
경상남도,2021,01,313.33
경상남도,2021,02,371.67
경상남도,2021,03,496.54
경상남도,2021,04,607.61
경상남도,2021,05,592.64
경상남도,2021,06,591.48
경상남도,2021,07,588.69
경상남도,2021,08,490.02
경상남도,2021,09,362.5
경상남도,2021,10,425.9
경상남도,2021,11,321.15
경상남도,2021,12,305.59
경상남도,2022,01,346.81
경상남도,2022,02,418.69
경상남도,2022,03,470.21
경상남도,2022,04,598.02
경상남도,2022,05,761.84
경상남도,2022,06,556.54
경상남도,2022,07,565.53
경상남도,2022,08,473.44
경상남도,2022,09,425.79
경상남도,2022,10,443.78
경상남도,2022,11,325.2
경상남도,2022,12,300.71
경상남도,2023,01,329.77
경상남도,2023,02,358.74
경상남도,2023,03,492.55
경상남도,2023,04,530.51
경상남도,2023,05,548.55
경상남도,2023,06,599.04
경상남도,2023,07,461.56
경상남도,2023,08,556.97
경상남도,2023,09,421.56
경상남도,2023,10,450.95
경상남도,2023,11,334.48
경상남도,2023,12,266.66
경상남도,2024,01,312.77
경상남도,2024,02,269.39
경상남도,2024,03,475.24
경상남도,2024,04,489.58
경상남도,2024,05,701.03
경상남도,2024,06,595.43
경상남도,2024,07,506.72
경상남도,2024,08,641.94
경상남도,2024,09,460.87
경상남도,2024,10,353.89
경상남도,2024,11,294.13
경상남도,2024,12,310.18
