지역,연,월,일사합 평균(MJ/m²)
경상북도,2020,01,319.43
경상북도,2020,02,374.8
경상북도,2020,03,453.76
경상북도,2020,04,611.1
경상북도,2020,05,626.75
경상북도,2020,06,638.89
경상북도,2020,07,395.5
경상북도,2020,08,490.55
경상북도,2020,09,392.5
경상북도,2020,10,405.08
경상북도,2020,11,283.21
경상북도,2020,12,279.66
경상북도,2021,01,286.37
경상북도,2021,02,359.34
경상북도,2021,03,468.4
경상북도,2021,04,595.24
경상북도,2021,05,578.34
경상북도,2021,06,566.28
경상북도,2021,07,607.86
경상북도,2021,08,434.51
경상북도,2021,09,392.79
경상북도,2021,10,369.89
경상북도,2021,11,306.74
경상북도,2021,12,278.79
경상북도,2022,01,314.79
경상북도,2022,02,379.33
경상북도,2022,03,458.31
경상북도,2022,04,615.55
경상북도,2022,05,777.72
경상북도,2022,06,603.4
경상북도,2022,07,542.4
경상북도,2022,08,460.62
경상북도,2022,09,424.38
경상북도,2022,10,395.75
경상북도,2022,11,314.23
경상북도,2022,12,273.11
경상북도,2023,01,307.27
경상북도,2023,02,336.23
경상북도,2023,03,516.65
경상북도,2023,04,565.01
경상북도,2023,05,613.73
경상북도,2023,06,645.41
경상북도,2023,07,521.29
경상북도,2023,08,539.08
경상북도,2023,09,415.65
경상북도,2023,10,437.33
경상북도,2023,11,319.2
경상북도,2023,12,248.33
경상북도,2024,01,285.23
경상북도,2024,02,238.56
경상북도,2024,03,458.05
경상북도,2024,04,516.42
경상북도,2024,05,708.7
경상북도,2024,06,654.19
경상북도,2024,07,537.93
경상북도,2024,08,621.55
경상북도,2024,09,431.17
경상북도,2024,10,315.71
경상북도,2024,11,262.13
경상북도,2024,12,290.75
