지역,연,월,일사합 평균(MJ/m²)
서울특별시,2020,1,252.58
서울특별시,2020,2,313.44
서울특별시,2020,3,515.18
서울특별시,2020,4,637.52
서울특별시,2020,5,564.83
서울특별시,2020,6,603.98
서울특별시,2020,7,464.55
서울특별시,2020,8,325.97
서울특별시,2020,9,452.05
서울특별시,2020,10,428.25
서울특별시,2020,11,281.51
서울특별시,2020,12,276.39
서울특별시,2021,1,270.25
서울특별시,2021,2,348.55
서울특별시,2021,3,476.94
서울특별시,2021,4,558.28
서울특별시,2021,5,570.5
서울특별시,2021,6,563.35
서울특별시,2021,7,578.3
서울특별시,2021,8,428.88
서울특별시,2021,9,474.13
서울특별시,2021,10,353.62
서울특별시,2021,11,271.64
서울특별시,2021,12,257.25
서울특별시,2022,1,301.7
서울특별시,2022,2,376.05
서울특별시,2022,3,425.4
서울특별시,2022,4,615.24
서울특별시,2022,5,764.61
서울특별시,2022,6,440.59
서울특별시,2022,7,508.79
서울특별시,2022,8,402.81
서울특별시,2022,9,496.22
서울특별시,2022,10,420.22
서울특별시,2022,11,298.77
서울특별시,2022,12,275.5
서울특별시,2023,1,290.78
서울특별시,2023,2,363.91
서울특별시,2023,3,520.57
서울특별시,2023,4,498.03
서울특별시,2023,5,648.18
서울특별시,2023,6,572.17
서울특별시,2023,7,478.8
서울특별시,2023,8,469.76
서울특별시,2023,9,425.79
서울특별시,2023,10,416.57
서울특별시,2023,11,284.12
서울특별시,2023,12,217.32
서울특별시,2024,1,279.71
서울특별시,2024,2,259.99
서울특별시,2024,3,438.18
서울특별시,2024,4,558.15
서울특별시,2024,5,686.87
서울특별시,2024,6,714.52
서울특별시,2024,7,402.43
서울특별시,2024,8,507.93
서울특별시,2024,9,439.21
서울특별시,2024,10,367.11
서울특별시,2024,11,293.01
서울특별시,2024,12,288.48
