지역,연,월,일사합 평균(MJ/m²)
서울특별시,2020,01,252.58
서울특별시,2020,02,313.44
서울특별시,2020,03,515.18
서울특별시,2020,04,637.52
서울특별시,2020,05,564.83
서울특별시,2020,06,603.98
서울특별시,2020,07,464.55
서울특별시,2020,08,325.97
서울특별시,2020,09,452.05
서울특별시,2020,10,428.25
서울특별시,2020,11,281.51
서울특별시,2020,12,276.39
서울특별시,2021,01,270.25
서울특별시,2021,02,348.55
서울특별시,2021,03,476.94
서울특별시,2021,04,558.28
서울특별시,2021,05,570.5
서울특별시,2021,06,563.35
서울특별시,2021,07,578.3
서울특별시,2021,08,428.88
서울특별시,2021,09,474.13
서울특별시,2021,10,353.62
서울특별시,2021,11,271.64
서울특별시,2021,12,257.25
서울특별시,2022,01,301.7
서울특별시,2022,02,376.05
서울특별시,2022,03,425.4
서울특별시,2022,04,615.24
서울특별시,2022,05,764.61
서울특별시,2022,06,440.59
서울특별시,2022,07,508.79
서울특별시,2022,08,402.81
서울특별시,2022,09,496.22
서울특별시,2022,10,420.22
서울특별시,2022,11,298.77
서울특별시,2022,12,275.5
서울특별시,2023,01,290.78
서울특별시,2023,02,363.91
서울특별시,2023,03,520.57
서울특별시,2023,04,498.03
서울특별시,2023,05,648.18
서울특별시,2023,06,572.17
서울특별시,2023,07,478.8
서울특별시,2023,08,469.76
서울특별시,2023,09,425.79
서울특별시,2023,10,416.57
서울특별시,2023,11,284.12
서울특별시,2023,12,217.32
서울특별시,2024,01,279.71
서울특별시,2024,02,259.99
서울특별시,2024,03,438.18
서울특별시,2024,04,558.15
서울특별시,2024,05,686.87
서울특별시,2024,06,714.52
서울특별시,2024,07,402.43
서울특별시,2024,08,507.93
서울특별시,2024,09,439.21
서울특별시,2024,10,367.11
서울특별시,2024,11,293.01
서울특별시,2024,12,288.48
