지역,연,월,일사합 평균(MJ/m²)
인천광역시,2020,01,266.55
인천광역시,2020,02,312.28
인천광역시,2020,03,552.18
인천광역시,2020,04,678.88
인천광역시,2020,05,548.09
인천광역시,2020,06,600.87
인천광역시,2020,07,546.17
인천광역시,2020,08,371.2
인천광역시,2020,09,476.04
인천광역시,2020,10,423.61
인천광역시,2020,11,263.29
인천광역시,2020,12,239.38
인천광역시,2021,01,250.32
인천광역시,2021,02,339.97
인천광역시,2021,03,470.56
인천광역시,2021,04,574.66
인천광역시,2021,05,626.62
인천광역시,2021,06,578.96
인천광역시,2021,07,636.59
인천광역시,2021,08,483.25
인천광역시,2021,09,475.31
인천광역시,2021,10,374.26
인천광역시,2021,11,245.56
인천광역시,2021,12,229.6
인천광역시,2022,01,295.92
인천광역시,2022,02,358.57
인천광역시,2022,03,446.79
인천광역시,2022,04,626.91
인천광역시,2022,05,723.69
인천광역시,2022,06,470.37
인천광역시,2022,07,612.27
인천광역시,2022,08,498.68
인천광역시,2022,09,514.41
인천광역시,2022,10,444.02
인천광역시,2022,11,277.39
인천광역시,2022,12,239.51
인천광역시,2023,01,275.14
인천광역시,2023,02,357.81
인천광역시,2023,03,510.73
인천광역시,2023,04,535.53
인천광역시,2023,05,632.76
인천광역시,2023,06,648.11
인천광역시,2023,07,567.24
인천광역시,2023,08,557.92
인천광역시,2023,09,462.39
인천광역시,2023,10,434.52
인천광역시,2023,11,260.79
인천광역시,2023,12,194.89
인천광역시,2024,01,256.16
인천광역시,2024,02,296.94
인천광역시,2024,03,511.68
인천광역시,2024,04,591.97
인천광역시,2024,05,678.2
인천광역시,2024,06,752.06
인천광역시,2024,07,458.24
인천광역시,2024,08,624.35
인천광역시,2024,09,475.25
인천광역시,2024,10,394.72
인천광역시,2024,11,287.62
인천광역시,2024,12,250.44
