연도,월,일조합(hr),일사합(MJ/m²)
2020,1,138.6,249.92
2020,2,171.0,327.23
2020,3,224.6,486.96
2020,4,279.6,633.79
2020,5,213.7,597.55
2020,6,208.3,594.34
2020,7,86.3,393.85
2020,8,152.8,469.85
2020,9,171.7,438.29
2020,10,204.5,399.53
2020,11,157.2,272.16
2020,12,167.7,254.35
2021,1,166.4,272.35
2021,2,186.0,336.36
2021,3,192.0,444.71
2021,4,212.5,541.34
2021,5,198.6,575.44
2021,6,211.5,598.79
2021,7,228.5,606.14
2021,8,148.1,464.61
2021,9,148.7,411.88
2021,10,170.4,365.62
2021,11,162.0,278.29
2021,12,154.3,244.44
2022,1,196.6,296.71
2022,2,204.9,354.83
2022,3,165.6,412.98
2022,4,241.9,580.87
2022,5,301.1,719.19
2022,6,182.5,557.86
2022,7,184.3,540.32
2022,8,134.2,444.88
2022,9,170.9,439.74
2022,10,201.6,399.36
2022,11,171.8,287.11
2022,12,153.5,243.83
2023,1,179.6,282.07
2023,2,157.2,322.51
2023,3,233.0,515.47
2023,4,188.1,513.1
2023,5,209.3,604.17
2023,6,219.0,636.17
2023,7,139.3,471.66
2023,8,176.3,539.98
2023,9,140.6,426.61
2023,10,198.4,428.58
2023,11,158.4,285.43
2023,12,115.5,213.06
2024,1,130.2,257.04
2024,2,95.4,250.71
2024,3,188.1,462.96
2024,4,192.2,521.87
2024,5,265.5,704.92
2024,6,262.6,679.58
2024,7,120.7,474.31
2024,8,222.2,607.05
2024,9,178.5,480.1
2024,10,120.5,314.76
2024,11,165.3,292.93
2024,12,152.3,261.6
2025,1,151.7,268.35
2025,2,195.3,382.71
2025,3,192.4,470.26
2025,4,230.9,593.77
2025,5,193.2,573.93
2025,6,204.1,605.46
2025,7,242.2,650.48
2025,8,196.2,577.93
2025,9,101.9,375.79
2025,10,74.8,229.81
