연도,월,일조합(hr),일사합(MJ/m²)
2020,1,153.6,269.38
2020,2,210.7,373.34
2020,3,238.0,509.5
2020,4,277.4,635.24
2020,5,245.5,644.3
2020,6,257.2,664.6
2020,7,111.4,431.95
2020,8,230.2,582.74
2020,9,166.2,435.91
2020,10,230.7,435.07
2020,11,190.7,309.79
2020,12,236.0,315.42
2021,1,211.5,317.21
2021,2,208.7,365.71
2021,3,204.5,465.65
2021,4,241.5,584.44
2021,5,219.0,606.02
2021,6,212.7,601.45
2021,7,235.8,618.63
2021,8,166.3,492.95
2021,9,136.9,401.12
2021,10,214.9,420.79
2021,11,220.4,339.06
2021,12,230.4,311.38
2022,1,235.2,336.79
2022,2,242.7,399.53
2022,3,211.5,474.17
2022,4,258.3,607.21
2022,5,318.2,745.91
2022,6,225.7,619.88
2022,7,183.9,540.96
2022,8,162.0,486.8
2022,9,134.7,398.33
2022,10,208.9,414.19
2022,11,210.8,330.22
2022,12,224.0,306.38
