지역,연,월,일사합 평균(MJ/m²)
제주특별자치도,2020,01,170.0
제주특별자치도,2020,02,290.9
제주특별자치도,2020,03,455.3
제주특별자치도,2020,04,614.7
제주특별자치도,2020,05,571.1
제주특별자치도,2020,06,477.2
제주특별자치도,2020,07,438.7
제주특별자치도,2020,08,579.7
제주특별자치도,2020,09,380.9
제주특별자치도,2020,10,408.7
제주특별자치도,2020,11,270.5
제주특별자치도,2020,12,207.5
제주특별자치도,2021,01,218.5
제주특별자치도,2021,02,309.9
제주특별자치도,2021,03,451.8
제주특별자치도,2021,04,569.2
제주특별자치도,2021,05,614.3
제주특별자치도,2021,06,587.2
제주특별자치도,2021,07,512.4
제주특별자치도,2021,08,482.1
제주특별자치도,2021,09,374.9
제주특별자치도,2021,10,409.2
제주특별자치도,2021,11,279.1
제주특별자치도,2021,12,189.4
제주특별자치도,2022,01,221.7
제주특별자치도,2022,02,271.8
제주특별자치도,2022,03,408.4
제주특별자치도,2022,04,592.2
제주특별자치도,2022,05,652.2
제주특별자치도,2022,06,563.6
제주특별자치도,2022,07,608.2
제주특별자치도,2022,08,569.2
제주특별자치도,2022,09,386.3
제주특별자치도,2022,10,422.5
제주특별자치도,2022,11,285.9
제주특별자치도,2022,12,158.4
제주특별자치도,2023,01,198.8
제주특별자치도,2023,02,285.4
제주특별자치도,2023,03,479.7
제주특별자치도,2023,04,517.3
제주특별자치도,2023,05,524.1
제주특별자치도,2023,06,515.6
제주특별자치도,2023,07,464.2
제주특별자치도,2023,08,632.1
제주특별자치도,2023,09,504.1
제주특별자치도,2023,10,480.3
제주특별자치도,2023,11,264.8
제주특별자치도,2023,12,168.0
제주특별자치도,2024,01,207.8
제주특별자치도,2024,02,183.6
제주특별자치도,2024,03,416.8
제주특별자치도,2024,04,439.2
제주특별자치도,2024,05,683.8
제주특별자치도,2024,06,475.0
제주특별자치도,2024,07,532.0
제주특별자치도,2024,08,659.3
제주특별자치도,2024,09,500.1
제주특별자치도,2024,10,327.0
제주특별자치도,2024,11,276.5
제주특별자치도,2024,12,201.8
