지역,연,월,일사합 평균(MJ/m²)
충청남도,2020,01,246.77
충청남도,2020,02,331.96
충청남도,2020,03,532.95
충청남도,2020,04,663.12
충청남도,2020,05,590.71
충청남도,2020,06,586.58
충청남도,2020,07,435.13
충청남도,2020,08,409.86
충청남도,2020,09,446.42
충청남도,2020,10,421.74
충청남도,2020,11,264.97
충청남도,2020,12,244.87
충청남도,2021,01,255.45
충청남도,2021,02,343.28
충청남도,2021,03,465.84
충청남도,2021,04,555.87
충청남도,2021,05,564.94
충청남도,2021,06,590.22
충청남도,2021,07,623.48
충청남도,2021,08,454.95
충청남도,2021,09,440.29
충청남도,2021,10,388.87
충청남도,2021,11,266.97
충청남도,2021,12,230.85
충청남도,2022,01,307.43
충청남도,2022,02,361.4
충청남도,2022,03,421.51
충청남도,2022,04,620.03
충청남도,2022,05,778.06
충청남도,2022,06,504.56
충청남도,2022,07,571.12
충청남도,2022,08,433.1
충청남도,2022,09,477.58
충청남도,2022,10,416.58
충청남도,2022,11,289.87
충청남도,2022,12,232.0
충청남도,2023,01,281.51
충청남도,2023,02,358.47
충청남도,2023,03,515.95
충청남도,2023,04,527.46
충청남도,2023,05,598.32
충청남도,2023,06,610.05
충청남도,2023,07,484.45
충청남도,2023,08,544.61
충청남도,2023,09,419.82
충청남도,2023,10,422.05
충청남도,2023,11,258.5
충청남도,2023,12,186.81
충청남도,2024,01,251.91
충청남도,2024,02,246.99
충청남도,2024,03,470.31
충청남도,2024,04,530.48
충청남도,2024,05,674.96
충청남도,2024,06,708.22
충청남도,2024,07,457.17
충청남도,2024,08,568.58
충청남도,2024,09,452.23
충청남도,2024,10,351.29
충청남도,2024,11,289.63
충청남도,2024,12,241.9
