지역,연,월,일사합 평균(MJ/m²)
전북특별자치도,2020,01,221.0
전북특별자치도,2020,02,324.55
전북특별자치도,2020,03,505.3
전북특별자치도,2020,04,625.66
전북특별자치도,2020,05,567.53
전북특별자치도,2020,06,524.33
전북특별자치도,2020,07,353.51
전북특별자치도,2020,08,462.02
전북특별자치도,2020,09,397.6
전북특별자치도,2020,10,412.18
전북특별자치도,2020,11,261.54
전북특별자치도,2020,12,268.11
전북특별자치도,2021,01,278.03
전북특별자치도,2021,02,337.04
전북특별자치도,2021,03,484.55
전북특별자치도,2021,04,596.15
전북특별자치도,2021,05,590.04
전북특별자치도,2021,06,608.34
전북특별자치도,2021,07,586.21
전북특별자치도,2021,08,493.15
전북특별자치도,2021,09,416.19
전북특별자치도,2021,10,422.61
전북특별자치도,2021,11,280.05
전북특별자치도,2021,12,252.37
전북특별자치도,2022,01,312.46
전북특별자치도,2022,02,381.34
전북특별자치도,2022,03,430.53
전북특별자치도,2022,04,624.16
전북특별자치도,2022,05,753.4
전북특별자치도,2022,06,563.31
전북특별자치도,2022,07,525.07
전북특별자치도,2022,08,462.46
전북특별자치도,2022,09,469.71
전북특별자치도,2022,10,465.15
전북특별자치도,2022,11,315.92
전북특별자치도,2022,12,253.45
전북특별자치도,2023,01,299.94
전북특별자치도,2023,02,371.48
전북특별자치도,2023,03,530.16
전북특별자치도,2023,04,508.63
전북특별자치도,2023,05,572.2
전북특별자치도,2023,06,601.96
전북특별자치도,2023,07,393.21
전북특별자치도,2023,08,575.18
전북특별자치도,2023,09,446.95
전북특별자치도,2023,10,449.01
전북특별자치도,2023,11,283.21
전북특별자치도,2023,12,206.05
전북특별자치도,2024,01,271.97
전북특별자치도,2024,02,258.9
전북특별자치도,2024,03,459.14
전북특별자치도,2024,04,512.26
전북특별자치도,2024,05,618.97
전북특별자치도,2024,06,608.41
전북특별자치도,2024,07,484.43
전북특별자치도,2024,08,621.33
전북특별자치도,2024,09,487.79
전북특별자치도,2024,10,358.49
전북특별자치도,2024,11,290.7
전북특별자치도,2024,12,246.81
