지역명,날짜,풍속,기온,습도,강수량,일조,일사
강릉,20220101,2.5,-0.4,34.0,0.0,8.9,11.11
강릉,20220102,3.3,4.3,41.3,0.0,7.8,10.18
강릉,20220103,3.0,1.9,35.4,0.0,8.5,10.68
강릉,20220104,1.7,1.3,46.9,0.0,9.0,11.29
강릉,20220105,2.1,1.1,60.9,0.0,5.9,7.96
강릉,20220106,2.0,1.7,57.0,0.0,9.0,11.26
강릉,20220107,2.3,2.6,41.1,0.0,9.0,11.14
강릉,20220108,3.6,4.8,42.3,0.0,7.5,9.33
강릉,20220109,1.4,4.2,62.0,0.0,4.0,6.89
강릉,20220110,2.3,4.4,60.8,0.0,5.9,8.8
강릉,20220111,3.4,-0.3,38.9,0.0,9.1,11.64
강릉,20220112,3.5,-2.7,31.5,0.0,9.0,12.04
강릉,20220113,3.6,-3.0,30.8,0.0,9.1,12.05
강릉,20220114,2.4,-1.1,34.3,0.0,9.1,12.26
강릉,20220115,2.5,3.4,37.1,0.0,1.4,5.96
강릉,20220116,3.5,3.3,37.8,0.0,8.5,10.96
강릉,20220117,3.2,-1.5,29.3,0.0,8.0,11.96
강릉,20220118,1.9,-2.3,36.8,0.0,9.3,12.29
강릉,20220119,2.2,-0.5,49.0,2.8,3.7,7.86
강릉,20220120,2.9,-1.6,61.8,2.6,6.8,10.52
강릉,20220121,2.3,0.5,59.4,0.0,7.8,11.94
강릉,20220122,1.6,1.5,67.6,0.0,7.4,10.22
강릉,20220123,1.9,2.9,77.1,0.8,3.1,6.27
강릉,20220124,1.1,2.4,84.3,1.2,0.0,1.68
강릉,20220125,2.1,4.2,64.3,0.0,0.4,3.07
강릉,20220126,2.3,5.3,46.1,0.0,8.6,11.82
강릉,20220127,2.1,3.0,53.8,0.0,7.6,11.23
강릉,20220128,2.4,2.0,37.3,0.0,9.4,13.09
강릉,20220129,2.6,1.7,30.3,0.0,9.4,13.75
강릉,20220130,2.4,0.5,39.1,0.0,9.5,13.44
강릉,20220131,2.6,3.0,31.0,0.0,9.6,13.77
강릉,20220201,3.2,2.1,46.1,0.0,9.2,13.05
강릉,20220202,4.0,0.9,37.8,0.0,8.8,13.17
강릉,20220203,3.1,0.7,32.6,0.0,9.6,14.81
강릉,20220204,3.4,-1.0,30.4,0.0,9.6,14.74
강릉,20220205,4.0,-3.5,32.8,0.0,9.7,15.13
강릉,20220206,2.7,-0.5,30.0,0.0,9.8,15.13
강릉,20220207,1.9,0.2,36.8,0.0,7.9,10.97
강릉,20220208,1.7,1.6,39.5,0.0,7.0,12.92
강릉,20220209,2.5,3.7,45.3,0.0,9.3,13.59
