발전기명,날짜,일별_총_일사량(SI_Sum)
경상대태양광,2022-01-01,11.4
경상대태양광,2022-01-02,11.3
경상대태양광,2022-01-03,11.7
경상대태양광,2022-01-04,11.2
경상대태양광,2022-01-05,4.5
경상대태양광,2022-01-06,11.6
경상대태양광,2022-01-07,11.8
경상대태양광,2022-01-08,11.6
경상대태양광,2022-01-09,10.200000000000001
경상대태양광,2022-01-10,10.7
경상대태양광,2022-01-11,12.2
경상대태양광,2022-01-12,12.1
경상대태양광,2022-01-13,11.4
경상대태양광,2022-01-14,12.3
경상대태양광,2022-01-15,10.0
경상대태양광,2022-01-16,11.6
경상대태양광,2022-01-17,11.4
경상대태양광,2022-01-18,12.9
경상대태양광,2022-01-19,12.1
경상대태양광,2022-01-20,12.4
경상대태양광,2022-01-21,12.2
경상대태양광,2022-01-22,9.0
경상대태양광,2022-01-23,7.1
경상대태양광,2022-01-24,6.1
경상대태양광,2022-01-25,5.4
경상대태양광,2022-01-26,12.6
경상대태양광,2022-01-27,12.3
경상대태양광,2022-01-28,13.200000000000001
경상대태양광,2022-01-29,12.2
경상대태양광,2022-01-30,11.5
경상대태양광,2022-01-31,14.5
경상대태양광,2022-02-01,12.5
경상대태양광,2022-02-02,9.6
경상대태양광,2022-02-03,14.8
경상대태양광,2022-02-04,14.7
경상대태양광,2022-02-05,14.9
경상대태양광,2022-02-06,14.1
경상대태양광,2022-02-07,7.9
경상대태양광,2022-02-08,14.5
경상대태양광,2022-02-09,12.3
경상대태양광,2022-02-10,14.2
경상대태양광,2022-02-11,15.9
경상대태양광,2022-02-12,15.2
경상대태양광,2022-02-13,12.5
경상대태양광,2022-02-14,11.4
경상대태양광,2022-02-15,16.0
경상대태양광,2022-02-16,16.5
경상대태양광,2022-02-17,16.3
경상대태양광,2022-02-18,15.7
경상대태양광,2022-02-19,10.5
경상대태양광,2022-02-20,17.9
경상대태양광,2022-02-21,17.0
경상대태양광,2022-02-22,17.0
경상대태양광,2022-02-23,15.1
경상대태양광,2022-02-24,17.900000000000002
경상대태양광,2022-02-25,17.6
경상대태양광,2022-02-26,16.7
경상대태양광,2022-02-27,18.3
경상대태양광,2022-02-28,14.200000000000001
경상대태양광,2022-03-01,13.399999999999999
경상대태양광,2022-03-02,19.3
경상대태양광,2022-03-03,18.7
경상대태양광,2022-03-04,15.0
경상대태양광,2022-03-05,19.4
경상대태양광,2022-03-06,20.3
경상대태양광,2022-03-07,16.3
경상대태양광,2022-03-08,19.5
경상대태양광,2022-03-09,19.4
경상대태양광,2022-03-10,16.2
경상대태양광,2022-03-11,10.8
경상대태양광,2022-03-12,17.400000000000002
경상대태양광,2022-03-13,2.7
경상대태양광,2022-03-14,3.7
경상대태양광,2022-03-15,20.4
경상대태양광,2022-03-16,20.6
경상대태양광,2022-03-17,4.7
경상대태양광,2022-03-18,5.5
경상대태양광,2022-03-19,9.3
경상대태양광,2022-03-20,15.5
경상대태양광,2022-03-21,16.2
경상대태양광,2022-03-22,20.0
경상대태양광,2022-03-23,13.4
경상대태양광,2022-03-24,21.5
경상대태양광,2022-03-25,9.4
경상대태양광,2022-03-26,16.2
경상대태양광,2022-03-27,22.5
경상대태양광,2022-03-28,18.0
경상대태양광,2022-03-29,22.8
경상대태양광,2022-03-30,15.2
경상대태양광,2022-03-31,12.799999999999999
경상대태양광,2022-04-01,20.8
경상대태양광,2022-04-02,24.1
경상대태양광,2022-04-03,24.0
경상대태양광,2022-04-04,24.3
경상대태양광,2022-04-05,19.9
경상대태양광,2022-04-06,23.5
경상대태양광,2022-04-07,23.0
경상대태양광,2022-04-08,25.0
경상대태양광,2022-04-09,24.6
경상대태양광,2022-04-10,24.0
경상대태양광,2022-04-11,17.2
경상대태양광,2022-04-12,22.8
경상대태양광,2022-04-13,5.5
경상대태양광,2022-04-14,12.0
경상대태양광,2022-04-15,21.0
경상대태양광,2022-04-16,25.8
경상대태양광,2022-04-17,26.099999999999998
경상대태양광,2022-04-18,19.6
경상대태양광,2022-04-19,24.6
경상대태양광,2022-04-20,25.1
경상대태양광,2022-04-21,7.3
경상대태양광,2022-04-22,25.1
경상대태양광,2022-04-23,16.8
경상대태양광,2022-04-24,25.8
경상대태양광,2022-04-25,18.5
경상대태양광,2022-04-26,4.9
경상대태양광,2022-04-27,23.3
경상대태양광,2022-04-28,22.0
경상대태양광,2022-04-29,12.2
경상대태양광,2022-04-30,18.0
경상대태양광,2022-05-01,27.3
경상대태양광,2022-05-02,23.8
경상대태양광,2022-05-03,27.0
경상대태양광,2022-05-04,27.3
경상대태양광,2022-05-05,27.7
경상대태양광,2022-05-06,26.9
경상대태양광,2022-05-07,24.9
경상대태양광,2022-05-08,21.8
경상대태양광,2022-05-09,20.5
경상대태양광,2022-05-10,20.7
경상대태양광,2022-05-11,12.6
경상대태양광,2022-05-12,13.6
경상대태양광,2022-05-13,8.0
경상대태양광,2022-05-14,25.9
경상대태양광,2022-05-15,26.7
경상대태양광,2022-05-16,28.2
경상대태양광,2022-05-17,27.0
경상대태양광,2022-05-18,26.7
경상대태양광,2022-05-19,19.1
경상대태양광,2022-05-20,19.2
경상대태양광,2022-05-21,24.4
경상대태양광,2022-05-22,27.3
경상대태양광,2022-05-23,24.2
경상대태양광,2022-05-24,27.3
경상대태양광,2022-05-25,26.8
경상대태양광,2022-05-26,27.9
경상대태양광,2022-05-27,24.7
경상대태양광,2022-05-28,22.5
경상대태양광,2022-05-29,27.1
경상대태양광,2022-05-30,18.7
경상대태양광,2022-05-31,28.3
경상대태양광,2022-06-01,27.2
경상대태양광,2022-06-02,28.1
경상대태양광,2022-06-03,26.9
경상대태양광,2022-06-04,21.6
경상대태양광,2022-06-05,5.1
경상대태양광,2022-06-06,18.4
경상대태양광,2022-06-07,10.4
경상대태양광,2022-06-08,16.3
경상대태양광,2022-06-09,25.8
경상대태양광,2022-06-10,19.9
경상대태양광,2022-06-11,18.5
경상대태양광,2022-06-12,21.2
경상대태양광,2022-06-13,10.7
