지역,연,월,일사합 평균(MJ/m²)
충청북도,2020,01,239.4
충청북도,2020,02,338.93
충청북도,2020,03,530.79
충청북도,2020,04,651.28
충청북도,2020,05,643.64
충청북도,2020,06,616.79
충청북도,2020,07,423.75
충청북도,2020,08,491.06
충청북도,2020,09,450.82
충청북도,2020,10,439.53
충청북도,2020,11,290.09
충청북도,2020,12,267.83
충청북도,2021,01,285.65
충청북도,2021,02,359.56
충청북도,2021,03,465.04
충청북도,2021,04,585.9
충청북도,2021,05,561.09
충청북도,2021,06,605.0
충청북도,2021,07,639.57
충청북도,2021,08,445.15
충청북도,2021,09,426.57
충청북도,2021,10,407.2
충청북도,2021,11,286.98
충청북도,2021,12,263.79
충청북도,2022,01,238.09
충청북도,2022,02,402.06
충청북도,2022,03,437.45
충청북도,2022,04,636.57
충청북도,2022,05,799.97
충청북도,2022,06,577.15
충청북도,2022,07,578.97
충청북도,2022,08,446.07
충청북도,2022,09,502.34
충청북도,2022,10,433.59
충청북도,2022,11,308.2
충청북도,2022,12,251.78
충청북도,2023,01,308.58
충청북도,2023,02,356.64
충청북도,2023,03,542.75
충청북도,2023,04,538.85
충청북도,2023,05,641.79
충청북도,2023,06,669.63
충청북도,2023,07,504.28
충청북도,2023,08,548.98
충청북도,2023,09,454.21
충청북도,2023,10,451.4
충청북도,2023,11,296.36
충청북도,2023,12,224.58
충청북도,2024,01,263.09
충청북도,2024,02,243.15
충청북도,2024,03,472.4
충청북도,2024,04,528.49
충청북도,2024,05,717.54
충청북도,2024,06,704.75
충청북도,2024,07,493.25
충청북도,2024,08,631.71
충청북도,2024,09,457.98
충청북도,2024,10,325.84
충청북도,2024,11,296.05
충청북도,2024,12,239.59
